State_Name,Crop_Year,Season,Crop,Area,Production,Yeild,Rainfall
andaman and nicobar islands,2000,kharif,Arecanut,1254.0,2000.0,1.594896331738437,1244.2
andaman and nicobar islands,2000,kharif,Rice,102.0,321.0,3.1470588235294117,1244.2
andaman and nicobar islands,2000,whole year,Banana,176.0,641.0,3.6420454545454546,2763.2
andaman and nicobar islands,2000,whole year,Cashewnut,720.0,165.0,0.22916666666666666,2763.2
andaman and nicobar islands,2000,whole year,Coconut ,18168.0,65100000.0,3583.223249669749,2763.2
andaman and nicobar islands,2000,whole year,Dry ginger,36.0,100.0,2.7777777777777777,2763.2
andaman and nicobar islands,2000,whole year,Sugarcane,1.0,2.0,2.0,2763.2
andaman and nicobar islands,2000,whole year,Sweet potato,5.0,15.0,3.0,2763.2
andaman and nicobar islands,2000,whole year,Tapioca,40.0,169.0,4.225,2763.2
andaman and nicobar islands,2001,kharif,Arecanut,1254.0,2061.0,1.6435406698564594,1515.4
andaman and nicobar islands,2001,kharif,Rice,83.0,300.0,3.6144578313253013,1515.4
andaman and nicobar islands,2001,whole year,Cashewnut,719.0,192.0,0.2670375521557719,3080.9
andaman and nicobar islands,2001,whole year,Coconut ,18190.0,64430000.0,3542.0560747663553,3080.9
andaman and nicobar islands,2001,whole year,Dry ginger,46.0,100.0,2.1739130434782608,3080.9
andaman and nicobar islands,2001,whole year,Sugarcane,1.0,1.0,1.0,3080.9
andaman and nicobar islands,2001,whole year,Sweet potato,11.0,33.0,3.0,3080.9
andaman and nicobar islands,2002,kharif,Rice,189.2,510.84,2.7,1525.6
andaman and nicobar islands,2002,whole year,Arecanut,1258.0,2083.0,1.6558028616852147,2620.2
andaman and nicobar islands,2002,whole year,Banana,213.0,1278.0,6.0,2620.2
andaman and nicobar islands,2002,whole year,Black pepper,63.0,13.5,0.21428571428571427,2620.2
andaman and nicobar islands,2002,whole year,Cashewnut,719.0,208.0,0.28929068150208626,2620.2
andaman and nicobar islands,2002,whole year,Coconut ,18240.0,67490000.0,3700.1096491228072,2620.2
andaman and nicobar islands,2002,whole year,Dry chillies,413.0,28.8,0.06973365617433414,2620.2
andaman and nicobar islands,2002,whole year,Dry ginger,47.3,133.0,2.8118393234672308,2620.2
andaman and nicobar islands,2002,whole year,Sugarcane,5.0,40.0,8.0,2620.2
andaman and nicobar islands,2003,kharif,Rice,52.0,90.17,1.7340384615384616,1406.1
andaman and nicobar islands,2003,whole year,Arecanut,1261.0,1525.0,1.2093576526566217,2355.9
andaman and nicobar islands,2003,whole year,Banana,266.0,1763.0,6.62781954887218,2355.9
andaman and nicobar islands,2003,whole year,Black pepper,75.5,15.86,0.21006622516556292,2355.9
andaman and nicobar islands,2003,whole year,Cashewnut,717.0,208.5,0.2907949790794979,2355.9
andaman and nicobar islands,2003,whole year,Coconut ,18284.74,68580000.0,3750.6685903108273,2355.9
andaman and nicobar islands,2003,whole year,Dry chillies,60.0,102.0,1.7,2355.9
andaman and nicobar islands,2003,whole year,Dry ginger,102.0,326.4,3.1999999999999997,2355.9
andaman and nicobar islands,2004,kharif,Rice,52.94,72.57,1.3707971288250849,1392.2
andaman and nicobar islands,2004,whole year,Arecanut,1264.7,805.85,0.6371866845892307,2460.1
