observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-09-16,2025-05-26,42.3725601,-71.2340741,fruiting,5,1848.84546203613
2025-09-16,2025-05-26,42.3618783333,-71.255875,fruiting,5,1849.4537231445283
2025-09-17,2025-05-26,53.3890533447,-2.9650714397,fruiting,5,1295.6906311035154
2025-09-17,2025-05-26,41.1300468445,28.9624385834,fruiting,5,2155.4848281860313
2025-09-15,2025-05-26,47.9876280483,16.3032186683,fruiting,5,1716.3359176635718
2025-09-15,2025-05-26,42.2760413,-71.8052050997,fruiting,5,1804.2664520263643
2025-09-13,2025-05-26,42.2040773171,-82.9717471421,fruiting,5,1885.045747375485
2025-09-13,2025-05-26,45.4287116667,-122.6419966667,flowering,5,1801.4077926635719
2025-08-17,2025-05-26,49.718543776,4.9345064423,fruiting,5,1156.0826934814463
2025-09-09,2025-05-26,45.3535706522,-122.6086834062,fruiting,5,1744.1703750610332
2025-09-11,2025-05-26,43.1929560509,-77.5127669064,fruiting,5,1754.6308731079075
2025-09-10,2025-05-26,38.1840381,-121.3213740997,fruiting,5,1961.9808166503876
2025-09-09,2025-05-26,43.1811625771,-77.5097216751,fruiting,5,1727.7243453979468
2025-08-28,2025-05-26,42.4735053797,-71.1592177122,fruiting,5,1603.9053878784166
2025-09-05,2025-05-26,42.2058350597,-71.4245698011,fruiting,5,1734.9318740844706
2025-09-07,2025-05-26,40.7396757953,-74.178813787,fruiting,5,1902.4852371215788
2025-09-07,2025-05-26,38.2529833333,-121.5054555556,fruiting,5,1908.1202239990207
2025-09-07,2025-05-26,42.4327675559,-71.2064749985,fruiting,5,1760.8208389282204
2025-09-07,2025-05-26,42.3309536306,-72.6739667729,fruiting,5,1719.3616867065407
2025-09-06,2025-05-26,40.3464618536,-3.6686134306,fruiting,5,2248.0173782348593
2025-09-06,2025-05-26,51.5307327,-0.4742824,fruiting,5,1390.4011444091789
2025-09-03,2025-05-26,42.2011111111,-70.9736166667,fruiting,5,1651.9900451660137
2025-09-05,2025-05-26,42.2051585013,-71.4239833074,fruiting,5,1734.9318740844706
2025-09-05,2025-05-26,42.2060563135,-71.4243206218,fruiting,5,1734.9318740844706
2025-09-04,2025-05-26,40.303736,-3.614861,fruiting,5,2221.1114227294884
2025-09-04,2025-05-26,40.3029,-3.614808,fruiting,5,2221.1114227294884
2025-08-26,2025-05-26,42.2284890847,-71.3099502509,fruiting,5,1586.4078186035144
2025-09-03,2025-05-26,43.19369133,-77.5126921602,fruiting,5,1653.2174774169903
2025-09-03,2025-05-26,51.345597,12.3689701,flowering,5,1441.367219543456
2025-09-02,2025-05-26,41.5451695,1.8913371,fruiting,5,1865.4575119018527
2025-09-01,2025-05-26,45.4761980781,-122.6084816828,fruiting,5,1612.4941772460925
2025-09-01,2025-05-26,42.62291279,-71.37224763,fruiting,5,1675.1311325073225
2025-07-31,2025-05-26,36.8385021,-5.3909444,fruiting,5,1404.0670578002928
2025-08-31,2025-05-26,42.3994054021,-71.141173169,fruiting,5,1647.670903015135
2025-08-31,2025-05-26,42.2775119432,-71.3468090817,fruiting,5,1657.6504333496077
2025-08-31,2025-05-26,42.6142703716,-71.2410077389,fruiting,5,1648.902233886717
2025-08-31,2025-05-26,51.32552281,12.32691208,flowering,5,1396.132832336425
2025-08-30,2025-05-26,43.1534888333,-77.6096716667,fruiting,5,1603.4185897827133
2025-08-31,2025-05-26,41.1455132202,-74.1175148444,fruiting,5,1714.0647094726542
2025-08-30,2025-05-26,42.431855,-76.5130616667,fruiting,5,1548.9711639404281
2025-08-30,2025-05-26,51.4484149833,-0.0256216667,fruiting,5,1280.2344009399417
2025-08-27,2025-05-26,41.4230583333,-74.000655555,fruiting,5,1588.207319641112
2025-08-27,2025-05-26,41.91185795,-74.09753341,fruiting,5,1573.297392272948
2025-08-27,2025-05-26,41.43803,-72.9100116667,fruiting,5,1600.0254043579089
2025-08-22,2025-05-26,45.7919778997,3.1605419997,fruiting,5,1372.7146057128907
2025-08-24,2025-05-26,49.5865904173,17.2754214382,fruiting,5,1250.9136215209965
2025-08-23,2025-05-26,43.2097286,-79.77235946,fruiting,5,1543.066131591796
2025-08-23,2025-05-26,41.2353509072,-95.9159975499,fruiting,5,1788.9153213500958
2025-08-21,2025-05-26,39.9403590016,-82.9815655947,fruiting,5,1647.1225555419906
2025-08-12,2025-05-26,42.19419,14.2197172,fruiting,5,1251.710905456543
2025-08-23,2025-05-26,42.1455898883,19.0568425879,fruiting,5,1684.4207305908185
2025-08-07,2025-05-26,40.98368,-79.5444,fruiting,5,1221.1300415039068
2025-08-22,2025-05-26,45.7919960997,3.1605425997,fruiting,5,1372.7146057128907
2025-08-22,2025-05-26,45.7919960997,3.1605425997,fruiting,5,1372.7146057128907
2025-08-22,2025-05-26,42.2833614796,-71.8291768804,fruiting,5,1487.7772583007804
2025-08-21,2025-05-26,31.7599861111,35.1775111111,fruiting,5,1852.1823013305643
2025-08-08,2025-05-26,46.213685439,-119.0132369768,fruiting,5,1592.4823837280264
2025-08-19,2025-05-26,40.6332611111,-74.4451194444,fruiting,5,1614.6802383422837
2025-08-21,2025-05-26,42.5657424927,-71.3029937744,fruiting,5,1504.0021942138665
2025-08-20,2025-05-26,43.175469538,-77.5274612538,fruiting,5,1460.091136169433
2025-08-17,2025-05-26,42.6087604709,-70.6629757124,fruiting,5,
2025-08-18,2025-05-26,41.4883293831,-73.9529997765,fruiting,5,1450.4103317260738
2025-08-18,2025-05-26,42.8229279722,-70.8266359722,fruiting,5,1367.8061599731445
2025-08-16,2025-05-26,44.8379536597,-0.6352694705,fruiting,5,1493.8033493041985
2025-08-17,2025-05-26,46.3532608654,17.7847477142,flowering,5,1452.5878585815422
2025-08-16,2025-05-26,45.7981864997,3.1199002,fruiting,5,1227.2777374267584
2025-08-16,2025-05-26,40.8807137702,-73.903217297,fruiting,5,1543.9723861694324
2025-08-16,2025-05-26,41.1150297476,20.7955349609,fruiting,5,1430.5285156249993
2025-08-14,2025-05-26,41.2732302491,-101.8159978186,fruiting,5,1456.8976837158198
2025-08-14,2025-05-26,49.2033569997,-123.9771042997,fruiting,5,1019.937677001955
2025-08-01,2025-05-26,42.32651121,-70.99021649,fruiting,5,1117.7873199462902
2025-08-12,2025-05-26,41.483604921,-81.8307048275,fruiting,5,1432.2637771606442
