observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-03-15,2025-03-16,37.2988216515,-8.0616898975,flowering,5,3.9724365234375227
2025-04-20,2025-03-16,47.5493806409,21.8383223334,flowering,5,167.23069915771543
2025-05-28,2025-03-16,43.8729198173,3.2076990232,flowering,5,415.4181152343766
2025-05-28,2025-03-16,43.8733333533,3.2104922086,flowering,5,415.4181152343766
2025-04-01,2025-03-16,38.6351372684,-7.0621116153,flowering,5,135.5687744140629
2025-04-29,2025-03-16,41.7394533333,13.9894583333,flowering,5,107.25717620849684
2025-03-03,2025-03-16,39.1422691059,8.2734641433,flowering,5,
2025-05-17,2025-03-16,42.1822551705,13.4816304222,flowering,5,159.62648925781355
2025-04-21,2025-03-16,44.0855560752,27.9056502879,flowering,5,177.51146087646555
2025-05-01,2025-03-16,48.03155023,16.03968541,flowering,5,185.93928222656336
2025-05-01,2025-03-16,48.0368999,16.0393143,flowering,5,185.93928222656336
2025-05-01,2025-03-16,48.0367035,16.0374672,flowering,5,185.93928222656336
2024-04-28,2024-03-06,48.196399297,16.1207904656,flowering,5,281.5085418701183
2024-04-28,2024-03-06,48.0809701696,16.1233843281,flowering,5,260.43339233398547
2025-04-20,2025-03-16,47.8581711167,11.3835070422,flowering,5,115.78579406738345
2025-05-06,2025-03-16,42.356154,13.759484,flowering,5,180.52322845459082
2025-05-11,2025-03-16,45.4826452983,36.8606018205,flowering,5,300.54534759521607
2025-05-11,2025-03-16,45.5010488046,36.8643003905,flowering,5,300.54534759521607
2025-03-28,2025-03-16,39.8094059847,-5.6595882262,flowering,5,72.86439971923858
2025-05-01,2025-03-16,48.1713366704,16.0290051936,flowering,5,237.91084289550872
2025-05-11,2025-03-16,45.427316253,36.9169154377,flowering,5,314.0691131591809
2025-05-31,2025-03-16,42.1298032137,13.5611327662,flowering,5,341.52817840576324
2025-06-11,2025-03-16,40.9389326,14.7131665997,flowering,5,774.9304550170918
2025-06-02,2025-03-16,47.4328253045,16.2815565616,flowering,5,475.91221160888836
2025-04-27,2025-03-16,50.148393,5.045238,flowering,5,195.68860626220794
2025-05-23,2025-03-16,42.7741309964,-0.9654390067,flowering,5,286.76092681884904
2025-05-09,2025-03-16,48.0451443575,16.0617712502,flowering,5,262.9226943969737
2025-06-07,2025-03-16,46.82096,14.594345,flowering,5,373.1899871826188
2025-06-02,2025-03-16,42.4265716667,13.527845,flowering,5,368.8232727050797
2025-06-01,2025-03-16,42.1785131315,13.5553555625,flowering,5,310.0034957885757
2024-04-14,2024-03-06,43.3058333333,13.078275,flowering,5,257.10980224609466
2025-04-20,2025-03-16,48.5271200079,22.4723031744,flowering,5,144.82072296142633
2025-06-01,2025-03-16,45.9567899076,10.2327246999,flowering,5,148.70691070556768
2025-05-28,2025-03-16,43.9024831897,3.17860879,flowering,5,415.4181152343766
2025-06-02,2025-03-16,42.4130443845,13.6152642874,flowering,5,282.2188095092788
2025-04-01,2025-03-16,38.6472803045,-7.0615355102,flowering,5,135.5687744140629
2025-05-28,2025-03-16,42.3766091,13.7402719997,flowering,5,232.06044616699353
2025-06-01,2025-03-16,42.4000783333,13.5619333333,flowering,5,272.0661743164077
2025-06-01,2025-03-16,42.40005,13.5616866667,flowering,5,272.0661743164077
2025-06-01,2025-03-16,42.414555,13.5592116667,flowering,5,272.0661743164077
2025-05-31,2025-03-16,52.281615874,-2.0313157947,flowering,5,462.7781005859392
2025-05-28,2025-03-16,45.7713579085,3.0418278544,flowering,5,363.70211029052894
2025-04-19,2025-03-16,40.9889858,16.1837037997,flowering,5,197.14625091552807
2025-05-22,2025-03-16,40.7665397434,-3.7758921637,flowering,5,270.06070251464973
2025-05-22,2025-03-16,40.7665397434,-3.7758921637,flowering,5,270.06070251464973
2025-05-26,2025-03-16,41.7960186721,13.8026987157,flowering,5,169.84883117675895
2025-05-21,2025-03-16,46.7654067,23.2815783,flowering,5,271.35899200439576
2025-05-25,2025-03-16,40.6328543888,-3.9071829309,flowering,5,472.9923690795914
2025-05-25,2025-03-16,42.376695,13.5529133333,flowering,5,218.38551483154424
2025-05-24,2025-03-16,42.3383033333,13.71208,flowering,5,269.36693725586076
2025-05-23,2025-03-16,40.7457587026,-3.6741431428,flowering,5,426.2340728759781
2025-05-25,2025-03-16,42.0030193494,14.0101522576,flowering,5,205.14677124023558
2025-05-23,2025-03-16,42.0795361667,13.1672216667,flowering,5,317.80008850097795
2025-05-09,2025-03-16,42.785876963,-0.9609520063,flowering,5,204.26593322754013
2025-05-09,2025-03-16,42.7935707263,-0.9613218158,flowering,5,204.26593322754013
2025-05-18,2025-03-16,43.3145407583,16.6037580933,flowering,5,565.8774246215835
2025-04-26,2025-03-16,37.9545721265,-5.6232155977,flowering,5,323.0698348999033
2025-05-22,2025-03-16,41.97088759,13.96128477,flowering,5,193.80036163330192
2025-05-19,2025-03-16,42.2586860657,9.0721969604,flowering,5,332.3821502685561
2025-05-19,2025-03-16,44.77953683,3.29503569,flowering,5,186.5283355712903
2025-05-10,2025-03-16,46.4451392666,23.6088319063,flowering,5,279.7592697143565
2025-05-03,2025-03-16,46.3074013163,24.4758392325,flowering,5,286.20192413330165
2025-05-04,2025-03-16,42.8843861191,-0.8980776742,flowering,5,128.57679138183664
2025-05-10,2025-03-16,47.2940021012,8.5684858137,flowering,5,253.20907135009884
2025-05-18,2025-03-16,40.9994919464,-3.5323113576,flowering,5,276.03180694580203
2025-05-18,2025-03-16,40.9966787836,-3.5271872487,flowering,5,276.03180694580203
2025-05-17,2025-03-16,43.5865504114,16.5213563143,flowering,5,448.732215881349
2025-05-17,2025-03-16,42.6519224401,18.072646223,flowering,5,
2025-05-16,2025-03-16,40.974247721,-3.5733801685,flowering,5,235.07754516601676
2025-05-16,2025-03-16,40.9681025287,-3.5713938251,flowering,5,235.07754516601676
2025-05-12,2025-03-16,48.2892706908,10.8832742442,flowering,5,294.0623275756848
2025-05-16,2025-03-16,40.977321784,-3.578678621,flowering,5,235.07754516601676
2025-05-16,2025-03-16,48.0676751863,16.1800224279,flowering,5,319.6222991943372
