observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-09-20,2025-03-07,47.9877214858,16.3162517897,flowering,5,2179.1794784545855
2025-09-20,2025-03-07,50.3196631293,-4.7733802037,flowering,5,
2025-09-19,2025-03-07,-41.2251319,173.3227937,flowering,5,
2025-09-18,2025-03-07,43.1726739721,-77.5267179622,flowering,5,2160.282754516598
2025-09-08,2025-03-07,-36.7832777778,174.7513638889,flowering,5,
2025-09-15,2025-03-07,43.1734380993,-77.5251330906,flowering,5,2160.282754516598
2025-09-16,2025-03-07,-39.7023783333,175.329955,flowering,5,1014.3345870971718
2025-09-14,2025-03-07,-37.917214,145.376132,flowering,5,1316.5039993286096
2025-05-06,2025-03-07,42.9881858826,-78.6322937012,flowering,5,253.00115203857513
2025-09-12,2025-03-07,49.2521677628,1.337786587,flowering,5,2049.6197448730427
2025-07-24,2025-03-07,51.0325917821,11.2747642193,flowering,5,1145.9585021972675
2025-09-12,2025-03-07,38.567463886,-121.4545385446,flowering,5,3142.9894332885665
2025-09-12,2025-03-07,37.9755618037,-122.5329349753,flowering,5,1993.050773620601
2025-08-21,2025-03-07,-37.8806150997,145.3946885,flowering,5,1187.2018692016586
2025-09-11,2025-03-07,56.0768498492,40.2313485702,flowering,5,1658.3225921630838
2025-09-09,2025-03-07,52.19322,0.1247888333,flowering,5,1877.4378311157197
2025-09-09,2025-03-07,48.2275028264,16.3253707811,flowering,5,2098.3619735717734
2025-09-09,2025-03-07,-37.870341,145.296457,flowering,5,1358.3865905761672
2025-09-07,2025-03-07,-45.7548022352,170.5836931989,flowering,5,743.1502288818398
2025-09-08,2025-03-07,52.193395,0.1302333333,flowering,5,1867.4401184082003
2025-09-08,2025-03-07,48.2248205168,16.2089736387,flowering,5,1999.4637710571255
2025-09-08,2025-03-07,48.2054785733,16.3797023613,flowering,5,2176.0405853271445
2025-09-08,2025-03-07,48.2065388903,16.381080957,flowering,5,2176.0405853271445
2025-09-08,2025-03-07,48.2031315984,16.380530661,flowering,5,2176.0405853271445
2025-09-07,2025-03-07,37.2209138889,-121.9783611111,flowering,5,2017.2866668701135
2025-09-07,2025-03-07,37.26427668,-121.79512943,flowering,5,2453.5513305664003
2025-09-07,2025-03-07,46.7357666667,15.6285816667,flowering,5,2141.9180114746055
2025-05-23,2025-03-07,46.3257363,-0.4887833997,flowering,5,619.8491287231462
2025-09-07,2025-03-07,49.7449716667,10.15765,flowering,5,1939.2676635742155
2025-09-07,2025-03-07,51.3346673243,12.3812047612,flowering,5,1893.6230758666961
2025-09-07,2025-03-07,-37.6579895569,145.5072249939,flowering,5,1260.98890533447
2025-09-06,2025-03-07,-40.9959586883,172.9992145784,flowering,5,
2025-09-06,2025-03-07,52.520343354,13.3990137745,flowering,5,1895.6146484374972
2025-09-06,2025-03-07,50.9186912618,14.17636197,flowering,5,1741.0323791503888
2025-09-06,2025-03-07,48.8989616144,8.7075095996,flowering,5,1904.4168792724577
2025-09-05,2025-03-07,53.107588745,8.1524369138,flowering,5,1755.5981201171853
2025-03-14,2025-03-07,47.3622319722,-122.290214,flowering,5,10.984349060058776
2025-03-07,2025-03-07,47.3885586997,-122.2678552997,flowering,5,0.03544769287111649
2025-09-03,2025-03-07,50.3568949405,-4.1766564632,flowering,5,1689.9386169433574
2025-09-02,2025-03-07,43.1741892431,-77.5249804616,flowering,5,2001.725965881345
2024-05-11,2024-02-29,48.843795,2.43622,flowering,5,413.25444488525557
2025-09-02,2025-03-07,52.1926116667,0.1249083333,flowering,5,1793.3927078247048
2025-09-02,2025-03-07,54.6927924,-7.23424534,flowering,5,1305.6995208740245
2025-09-01,2025-03-07,36.9774246882,-122.0250443738,flowering,5,1623.2282318115217
2025-08-24,2025-03-07,47.075014814,11.4069327739,flowering,5,753.6576843261744
2025-09-01,2025-03-07,-37.9157089722,145.324855,flowering,5,1308.5107315063437
2025-09-01,2025-03-07,-36.92165,174.86473,flowering,5,
2025-09-01,2025-03-07,-37.8932649722,145.3012929722,flowering,5,1308.5107315063437
2025-08-31,2025-03-07,52.5953129769,-2.1325132241,flowering,5,1616.8257247924794
2025-08-29,2025-03-07,-40.4650283333,175.2239783333,flowering,5,
2025-08-30,2025-03-07,-41.269381727,173.0339132192,flowering,5,1017.8914962768595
2025-08-30,2025-03-07,50.8532806434,12.4966044029,flowering,5,1649.3236022949204
2025-08-30,2025-03-07,-43.6402283333,172.48465,flowering,5,861.3571746826207
2025-07-31,2025-03-07,46.3204323,7.4731044997,flowering,5,603.9998229980489
2025-08-24,2025-03-07,51.170605,14.449225,flowering,5,1641.2866546630848
2025-08-29,2025-03-07,53.0995933,-6.0614975,flowering,5,1366.6947158813482
2025-08-29,2025-03-07,46.4115041,11.65875976,flowering,5,873.1644851684598
2025-07-16,2025-03-07,48.21441537,-122.75296657,flowering,5,
2025-08-29,2025-03-07,-42.909767339,147.3571173103,flowering,5,
2025-08-28,2025-03-07,49.2621951307,-122.8593157647,flowering,5,1651.524461364745
2025-07-28,2025-03-07,52.3598055556,4.8870861111,flowering,5,1284.5445068359386
2025-08-02,2025-03-07,52.695065,-8.8135283333,flowering,5,1220.0747192382828
2025-08-28,2025-03-07,56.4853827992,85.1921343058,flowering,5,1385.265031433105
2025-03-28,2025-03-07,37.4499418923,-122.3944439866,flowering,5,149.67891998291066
2025-08-10,2025-03-07,37.753050755,-122.1490614271,flowering,5,1722.4531738281225
2025-08-27,2025-03-07,49.095001,-123.72184,flowering,5,
2025-04-10,2025-03-07,43.022436832,-78.8288855068,flowering,5,73.96945343017615
2025-04-05,2025-03-07,40.12865,-123.8286633333,flowering,5,112.19546203613345
2025-08-27,2025-03-07,37.798573951,-122.3975318458,flowering,5,1752.072363281247
2025-08-27,2025-03-07,37.99716925,-123.01763902,flowering,5,
2025-08-24,2025-03-07,54.8500180074,-1.3461458807,flowering,5,
2025-08-27,2025-03-07,38.3428001404,-122.6745147705,flowering,5,2040.6713241577108
2025-07-21,2025-03-07,-41.2663083333,174.7723216667,flowering,5,
2025-08-26,2025-03-07,47.6665477029,-117.103834413,flowering,5,1867.737129211424
2025-08-26,2025-03-07,58.9960222222,-3.2066861111,flowering,5,979.9408096313515
2025-08-18,2025-03-07,64.5097333333,34.8112883333,flowering,5,897.5484390258812
2025-08-22,2025-03-07,37.2415616667,-121.8266133333,flowering,5,2001.3770965576136
2025-08-22,2025-03-07,37.24157,-121.8266216667,flowering,5,2001.3770965576136
2025-08-23,2025-03-07,48.7458133333,-123.2238616667,flowering,5,
2025-08-26,2025-03-07,45.5326843262,-122.6063613892,flowering,5,2022.5025360107397
2025-06-15,2025-03-07,66.0477777778,-17.350425,flowering,5,111.71040802002028
2025-08-22,2025-03-07,37.3308937593,-121.8589238046,flowering,5,2088.5930236816366
2025-08-05,2025-03-07,47.6093301827,-124.3751821826,flowering,5,
2025-08-24,2025-03-07,43.3229362,-124.3861409,flowering,5,
2025-08-25,2025-03-07,48.1792319383,-122.0807634294,flowering,5,1619.485498046874
2025-07-07,2025-03-07,49.2797125,-122.9184368,flowering,5,870.2379516601588
2025-08-13,2025-03-07,48.0808464,-123.0855153,flowering,5,1224.9987289428732
2025-08-24,2025-03-07,43.1721713296,-77.5282127533,flowering,5,1888.1707687377911
2025-08-24,2025-03-07,19.2966581,-99.3581647,flowering,5,1480.0589004516578
