observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-09-19,2025-03-10,54.0419783333,-2.794635,budding,5,1486.7121856689446
2025-09-18,2025-03-10,52.1315216537,-2.417804452,flowering,5,1786.6103408813447
2025-09-17,2025-03-10,53.9323383333,14.4475733333,flowering,5,1826.518710327146
2025-09-17,2025-03-10,53.8669522682,10.6926782057,fruiting,5,1756.0160583496072
2025-09-16,2025-03-10,35.223857997,-80.8017876372,fruiting,5,3302.5557769775305
2025-09-16,2025-03-10,41.5451695,1.8913371,flowering,5,2674.670126342768
2025-09-14,2025-03-10,48.7513015244,9.1676357497,flowering,5,1891.9325714111296
2025-09-06,2025-03-10,38.2501972222,-121.5059722222,budding,5,2787.9789672851493
2025-09-06,2025-03-10,51.5315506,-0.46762,budding,5,1852.3144699096651
2025-09-06,2025-03-10,51.5298567333,-0.4716689167,flowering,5,1852.3144699096651
2025-09-02,2025-03-10,55.9417214833,-3.2648453333,flowering,5,1214.7657867431658
2025-09-02,2025-03-10,55.9416849333,-3.2645247,budding,5,1214.7657867431658
2024-10-16,2024-02-15,53.345775,-2.24832,flowering,5,1659.7242202758757
2025-09-01,2025-03-10,-45.9074890681,170.5168308946,fruiting,5,680.2763427734411
2025-08-27,2025-03-10,52.4590454102,1.4575703144,budding,5,1569.315103149413
2025-08-10,2025-03-10,43.6260664,12.6828138,budding,5,1887.6292678832988
2025-08-20,2025-03-10,43.3054416667,-81.7618416667,budding,5,1636.1804931640618
2025-08-13,2025-03-10,53.1991039217,10.8378289923,budding,5,1455.0769241333005
2025-08-10,2025-03-10,52.1512575184,-2.5810079826,flowering,5,1332.4814849853524
2025-08-09,2025-03-10,44.797643,-0.626635,flowering,5,1996.7317764282202
2025-08-04,2025-03-10,50.7276924619,7.0486526809,budding,5,1434.6508728027343
2025-07-25,2025-03-10,-41.256342,174.772114,fruiting,5,
2025-07-20,2025-03-10,-41.306893,174.7861729997,fruiting,5,
2025-06-27,2025-03-10,32.97463165,35.4697758222,budding,5,1647.900115966796
2025-06-27,2025-03-10,55.95465335,-3.1850101167,fruiting,5,
2025-06-22,2025-03-10,-41.28575,174.901701,fruiting,5,850.038223266604
2024-12-28,2024-02-15,49.1202166667,2.2231416667,fruiting,5,2582.626443481434
2025-06-15,2025-03-10,44.4346616667,-124.0754778333,fruiting,5,519.9862945556663
2025-06-07,2025-03-10,-41.268527829,173.2742182129,fruiting,5,663.0753082275411
2025-05-24,2025-03-10,47.598820645,8.65626168,fruiting,5,405.7676239013688
2025-05-21,2025-03-10,-43.5318802763,172.6366479322,fruiting,5,612.8042190551774
2025-05-08,2025-03-10,47.9736730285,7.8943275824,fruiting,5,273.1126846313489
2025-05-03,2025-03-10,45.9728102686,2.848778218,fruiting,5,246.54295196533315
2025-04-27,2025-03-10,-43.68578765,172.52958505,fruiting,5,463.2615951538097
2025-04-28,2025-03-10,49.3864944444,1.0448416667,fruiting,5,262.33713684082136
2025-04-28,2025-03-10,53.94548,-1.0522028333,fruiting,5,160.416584777833
2025-04-28,2025-03-10,47.2698627778,11.3929322222,fruiting,5,46.45622100830121
2025-04-28,2025-03-10,46.0557004824,10.8496028312,fruiting,5,20.663102722168446
2025-03-10,2025-03-10,-33.0335341687,-71.5321480944,budding,5,12.13239440917971
2025-04-20,2025-03-10,47.4267583333,9.0245361667,fruiting,5,106.92738800048903
2025-04-20,2025-03-10,45.9348178,4.85098278,fruiting,5,225.66821136474698
2025-04-20,2025-03-10,48.6536333333,6.1645333333,fruiting,5,162.15191802978597
2025-03-06,2025-03-10,53.4714056698,9.983265584,fruiting,5,2.780458068847679
2025-04-14,2025-03-10,-33.509105,-70.761155,flowering,5,494.7743545532235
2025-04-12,2025-03-10,42.4811944444,-1.6479611111,fruiting,5,164.14561462402412
2025-04-15,2025-03-10,48.4291696321,0.0826868042,fruiting,5,173.41804809570385
2025-04-10,2025-03-10,47.806417,9.07571,fruiting,5,70.00782470703177
2025-04-11,2025-03-10,46.0575007261,11.1372553871,fruiting,5,74.39375762939517
2025-04-11,2025-03-10,46.0573568262,11.1371656687,fruiting,5,74.39375762939517
2025-04-08,2025-03-10,44.0523916667,-123.0649833333,fruiting,5,117.1582687377936
2025-04-05,2025-03-10,47.0147257327,-122.9046045989,fruiting,5,95.03424224853575
2025-04-05,2025-03-10,-43.5630533333,172.66262,flowering,5,288.19778747558655
2025-04-04,2025-03-10,47.476918055,8.775475,fruiting,5,48.35671691894572
2025-04-03,2025-03-10,50.3948663927,8.1882852794,fruiting,5,63.9230987548832
2025-04-03,2025-03-10,47.9276962143,16.2171800234,fruiting,5,64.45206909179728
2025-04-02,2025-03-10,46.5227216667,6.5766466667,fruiting,5,74.8499435424809
2025-04-02,2025-03-10,48.2754816519,8.8544225705,fruiting,5,27.143733215332304
2025-03-31,2025-03-10,49.575255,10.6179216667,fruiting,5,39.43041076660188
2025-03-30,2025-03-10,48.0319361296,16.2697922252,fruiting,5,59.08682098388704
2025-03-12,2025-03-10,51.2751560529,-3.0126604105,fruiting,5,
2025-03-27,2025-03-10,49.2972777778,-0.0588138889,fruiting,5,
