observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-09-20,2025-05-16,45.1582052034,5.3618823178,flowering,5,1744.5198318481416
2025-06-19,2025-05-16,43.2140504,27.9147333,flowering,5,483.4085693359383
2025-09-15,2025-05-16,45.79717921,11.71392769,flowering,5,1638.1404602050757
2025-09-15,2025-05-16,52.1841443763,5.9667895362,flowering,5,1531.8660766601547
2025-08-28,2025-05-16,50.7149853284,-1.8840699172,flowering,5,1342.6990432739258
2025-09-12,2025-05-16,52.6814219417,1.1778362731,flowering,5,1479.7264556884752
2025-09-13,2025-05-16,52.9726327312,-6.022202298,flowering,5,
2025-09-13,2025-05-16,52.1628025997,21.0478066,flowering,5,1620.1449142456036
2025-09-13,2025-05-16,40.492332,-7.593653,flowering,5,1977.9753585815392
2025-09-13,2025-05-16,43.1504564,2.5537838997,flowering,5,2181.467881774898
2025-06-17,2025-05-16,43.2140504,27.9147333,flowering,5,448.2220886230476
2025-09-12,2025-05-16,42.8103538803,-1.6463056505,flowering,5,1759.905593872068
2025-09-10,2025-05-16,42.565542978,27.6321138707,flowering,5,2122.6189773559536
2025-08-03,2025-05-16,42.6905533333,-0.30843,flowering,5,812.8963470459003
2025-08-26,2025-05-16,50.7148297479,-1.9905331334,flowering,5,1300.6112869262697
2025-09-09,2025-05-16,42.8138452506,-1.6604939103,flowering,5,1731.3440811157202
2025-09-09,2025-05-16,44.133414,5.9779445997,flowering,5,1731.4934417724585
2025-09-06,2025-05-16,53.9652533333,-1.0739305,flowering,5,1292.6271194458009
2025-09-07,2025-05-16,51.4408049833,0.2171966667,flowering,5,1458.827964782714
2025-08-31,2025-05-16,42.309409,9.149022,flowering,5,1651.5289505004862
2024-11-01,2024-01-28,42.8086172466,-1.6895108335,flowering,5,2541.740226745598
2025-09-06,2025-05-16,51.9509479955,-1.5813087299,flowering,5,1372.0851882934567
2025-09-06,2025-05-16,42.7390583333,13.9770277778,flowering,5,2130.2487472534144
2025-09-06,2025-05-16,40.9907157494,15.6440571696,flowering,5,2116.3392776489222
2025-09-05,2025-05-16,50.059195,8.1771949722,flowering,5,1545.5954254150374
2025-09-05,2025-05-16,-43.6412216667,172.47673,flowering,5,286.03384246826374
2024-11-24,2024-01-28,-42.8794861117,147.363844445,flowering,5,
2025-08-23,2025-05-16,51.5685611111,0.4330805556,flowering,5,1306.753791809082
2025-09-04,2025-05-16,54.6984244391,-1.218008548,flowering,5,1232.0697357177742
2025-09-02,2025-05-16,50.4156419722,30.557397,flowering,5,1591.2019805908185
2025-09-03,2025-05-16,46.1846048303,-1.1759364725,flowering,5,1776.3274703979469
2025-09-03,2025-05-16,46.1844555553,-1.1752985952,flowering,5,1776.3274703979469
2025-09-03,2025-05-16,46.1633858789,-1.1573043453,flowering,5,1776.3274703979469
2025-08-20,2025-05-16,53.384119,-0.006144,flowering,5,1153.74803466797
2025-08-27,2025-05-16,48.642145,-2.0200778333,flowering,5,1377.0067199707028
2025-09-02,2025-05-16,52.1934466667,0.1291333333,flowering,5,1427.4915771484366
2025-08-27,2025-05-16,51.8240869997,0.8455913,flowering,5,1347.031195068359
2025-09-01,2025-05-16,50.6123555556,-3.3994555556,flowering,5,
2025-09-01,2025-05-16,52.2128416667,0.1264138333,flowering,5,1417.1935333251945
2025-09-01,2025-05-16,50.1518426298,8.5247019678,flowering,5,1437.7323516845695
2025-08-26,2025-05-16,44.558184504,-123.2634240411,flowering,5,1459.90285949707
2025-08-30,2025-05-16,52.9710779799,0.7591458515,flowering,5,1288.909655761719
2025-08-30,2025-05-16,40.4689533333,-3.36045,flowering,5,2078.223124694821
2025-08-30,2025-05-16,40.4687616667,-3.3563333333,flowering,5,2078.223124694821
2025-08-30,2025-05-16,47.5362665,-122.3958575,flowering,5,1524.3690826416005
2025-08-30,2025-05-16,51.4549733333,-0.0183733333,flowering,5,1408.6445419311517
2025-08-30,2025-05-16,48.3322784378,16.4566285631,flowering,5,1641.2004882812485
2025-08-30,2025-05-16,43.417014621,2.9746892199,flowering,5,2001.4124252319307
2025-08-29,2025-05-16,51.4606552505,-0.0618483871,flowering,5,1390.234757995605
2025-07-28,2025-05-16,52.3598055556,4.8870861111,flowering,5,896.6021789550798
2025-08-28,2025-05-16,49.0312572604,9.0445749277,flowering,5,1497.2030029296866
2025-08-28,2025-05-16,45.36528052,5.50646221,flowering,5,1622.4284744262677
2025-08-28,2025-05-16,45.6468253997,13.7725408997,flowering,5,1706.394844055174
2025-08-27,2025-05-16,52.0810090863,0.1220059458,flowering,5,1344.4282058715821
2025-08-27,2025-05-16,52.27022907,0.19570846,flowering,5,1349.5656723022457
2025-08-25,2025-05-16,49.4665809722,0.811038,flowering,5,1330.5607482910154
2025-08-27,2025-05-16,50.0836388997,5.928243,flowering,5,1170.6377624511729
2025-08-24,2025-05-16,50.4884033333,13.6802533333,flowering,5,1387.98646697998
2025-08-24,2025-05-16,50.5780979722,30.065856,flowering,5,1404.7479187011713
2024-07-08,2024-01-28,51.6863055556,-2.3511972222,flowering,5,912.3894104003941
2025-08-26,2025-05-16,48.11764772,-122.75250556,flowering,5,1155.4628265380875
2025-08-26,2025-05-16,50.9012322008,4.5144497976,flowering,5,1399.926068115234
2025-08-26,2025-05-16,52.0974563063,-1.8318153173,flowering,5,1306.1331527709963
2025-08-24,2025-05-16,46.9202539414,15.4629943147,flowering,5,1434.2204223632807
2025-08-25,2025-05-16,55.2040641131,-6.6404833432,flowering,5,943.9783813476586
2025-08-25,2025-05-16,51.18008165,0.9428833333,flowering,5,1280.8578216552737
2025-08-23,2025-05-16,46.6855734049,6.5591514606,flowering,5,1323.0241470336919
2025-08-01,2025-05-16,39.9119965054,32.9885408448,flowering,5,1227.678250122071
2025-08-17,2025-05-16,50.454835134,4.8174787313,flowering,5,1215.5604766845713
2025-08-22,2025-05-16,52.4548516667,13.30897,flowering,5,1358.930738830566
2025-08-24,2025-05-16,52.3078527778,-0.0356166667,flowering,5,1312.0759140014648
2025-08-24,2025-05-16,49.8232181556,6.3450385917,flowering,5,1263.0664001464852
2025-08-16,2025-05-16,45.7954225,3.1177241,flowering,5,1297.276280212403
2025-08-24,2025-05-16,47.98102,16.8656033333,flowering,5,1595.3168350219712
2025-08-23,2025-05-16,51.4405583333,3.5759083333,flowering,5,
2025-07-23,2025-05-16,-43.5847277778,172.7070916667,flowering,5,206.4024856567397
2025-08-21,2025-05-16,47.9112739997,-122.092116,flowering,5,1226.3227279663092
2025-08-23,2025-05-16,49.5781069585,6.1094478606,flowering,5,1268.971427917481
2025-08-23,2025-05-16,50.87058701,12.79692476,flowering,5,1249.0365753173833
2025-08-23,2025-05-16,51.46441,-0.31694,flowering,5,1310.0004959106445
2025-08-23,2025-05-16,44.837495,11.6076366667,flowering,5,1937.9336242675754
2025-08-21,2025-05-16,52.5577680053,0.0971472636,flowering,5,1262.6372879028327
2025-06-11,2025-05-16,43.2140504,27.9147333,flowering,5,353.78885192871155
2025-08-07,2025-05-16,50.8110118997,4.3923054997,flowering,5,1093.2700561523452
2025-08-20,2025-05-16,44.8209532944,20.4044531286,flowering,5,1768.5511505126933
2025-08-20,2025-05-16,52.4558911,4.5730589,flowering,5,1187.71963043213
2025-08-19,2025-05-16,42.2032902472,2.1949695694,flowering,5,1349.3754592895507
2025-08-09,2025-05-16,47.4667138889,19.1158555556,flowering,5,1382.6861740112304
2025-08-19,2025-05-16,42.2355108,2.2802668997,flowering,5,1398.352075195312
2025-08-18,2025-05-16,48.1168111667,-122.751695,flowering,5,1040.6593856811546
2025-08-18,2025-05-16,43.29981463,5.36370388,flowering,5,1777.9048080444318
2025-08-18,2025-05-16,51.7249185658,-1.3534373045,flowering,5,1202.3476409912118
2025-08-17,2025-05-16,51.5824583333,-0.0003766667,flowering,5,1242.7544387817388
2025-08-17,2025-05-16,51.482338,-0.108185,flowering,5,1232.5472015380865
2025-08-17,2025-05-16,41.0430555185,21.2556525785,flowering,5,1318.4223846435548
2025-08-16,2025-05-16,45.7954331997,3.1177244,flowering,5,1297.276280212403
2025-08-11,2025-05-16,54.5449719518,-0.7732478844,flowering,5,869.5621154785176
2025-08-16,2025-05-16,52.2821489,10.5129374,flowering,5,1217.6544082641608
2025-08-16,2025-05-16,51.55009665,-0.1952133333,flowering,5,1212.7610824584967
2025-06-02,2025-05-16,56.0407777778,12.6193166667,flowering,5,144.15404205322307
2025-08-15,2025-05-16,42.2079832839,14.228248662,flowering,5,1382.7380630493162
2025-08-15,2025-05-16,49.0372604812,8.7058316458,flowering,5,1340.0795013427733
2025-08-15,2025-05-16,51.677529,-8.5220812,flowering,5,988.8681365966818
2025-05-16,2025-05-16,36.5740571313,4.3555739829,flowering,5,8.138780212402366
2025-08-10,2025-05-16,52.393059878,20.3156482005,flowering,5,1108.4610092163102
2025-08-14,2025-05-16,51.5305370651,-2.4178224988,flowering,5,1101.31039581299
2025-08-13,2025-05-16,52.0579847978,1.2533907674,flowering,5,1130.5031204223646
2025-08-10,2025-05-16,49.0343916667,8.6064944444,flowering,5,1255.730685424805
2025-05-17,2025-05-16,36.4207502944,4.3630793946,flowering,5,20.730776977539108
2025-08-10,2025-05-16,51.6291653,-8.5522865,flowering,5,
2025-08-10,2025-05-16,50.7253860877,-3.5308894515,flowering,5,1029.4912368774435
2025-08-10,2025-05-16,46.3264283333,6.1944633333,flowering,5,1259.8622009277346
2025-08-10,2025-05-16,43.9544589722,4.802576,flowering,5,1697.3287078857406
2024-06-28,2024-01-28,52.3377944444,4.7771388889,flowering,5,963.8935989379917
2025-08-08,2025-05-16,48.00070638,16.2877752,flowering,5,1228.6833343505864
2025-08-08,2025-05-16,39.0380638333,-84.4508366667,flowering,5,1574.0374832153311
2025-08-08,2025-05-16,51.7738521,-8.312427,flowering,5,921.2297363281269
2025-08-08,2025-05-16,55.4867874406,60.203155987,flowering,5,970.2124938964863
2025-08-07,2025-05-16,52.9755659155,-6.0349611504,flowering,5,
