observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-05-22,2025-03-30,41.9964840299,14.25152698,flowering,5,238.96158294677844
2025-05-22,2025-03-30,41.98238647,14.1597557399,flowering,5,238.96158294677844
2024-04-13,2024-03-16,42.8372176459,-3.1103193189,flowering,5,160.95393066406314
2025-05-28,2025-03-30,43.8727837437,3.21179308,flowering,5,385.4556732177748
2025-06-01,2025-03-30,42.7782031608,-2.4230328575,flowering,5,392.1583847045913
2025-04-29,2025-03-30,49.2391859722,2.694313,flowering,5,218.70652923584055
2025-05-17,2025-03-30,49.3417214323,2.0533679651,flowering,5,376.757765197755
2025-05-17,2025-03-30,49.3417214323,2.0533679651,flowering,5,376.757765197755
2025-05-17,2025-03-30,49.3417214323,2.0533679651,flowering,5,376.757765197755
2025-05-17,2025-03-30,49.3417214323,2.0533679651,flowering,5,376.757765197755
2025-05-21,2025-03-30,41.8469683333,14.0884166667,flowering,5,218.64220886230578
2025-04-28,2025-03-30,42.0284583333,13.67968,flowering,5,123.74945983886778
2025-05-24,2025-03-30,41.9021371944,24.9126461078,flowering,5,293.7169174194347
2025-05-17,2025-03-30,42.1846136038,13.4700094163,budding,5,149.7860275268564
2025-04-21,2025-03-30,44.0858990153,27.9037901759,flowering,5,108.81218566894574
2025-05-09,2025-03-30,51.195690968,11.7474788283,flowering,5,232.90204315185633
2025-05-09,2025-03-30,51.1937956795,11.7464750768,flowering,5,232.90204315185633
2025-05-09,2025-03-30,51.1937803689,11.7465182157,flowering,5,232.90204315185633
2025-05-16,2025-03-30,42.891044,-2.585376,fruiting,5,303.35088043213
2025-05-20,2025-03-30,42.3854298997,27.6008727566,flowering,5,333.4673309326183
2025-05-16,2025-03-30,42.8883,-2.584946,fruiting,5,303.35088043213
2025-05-16,2025-03-30,42.887864,-2.585952,flowering,5,303.35088043213
2025-04-19,2025-03-30,44.1156946973,27.9192537814,budding,5,89.71391601562539
2025-05-30,2025-03-30,49.7036,6.2736,flowering,5,387.7372543334975
2025-05-16,2025-03-30,42.894916,-2.607458,flowering,5,303.35088043213
2025-05-16,2025-03-30,42.893154,-2.603206,flowering,5,303.35088043213
2025-04-18,2025-03-30,42.793351,-2.633334,flowering,5,110.62383270263717
2025-05-10,2025-03-30,44.3224983056,40.3286361667,flowering,5,184.77313079834062
2025-05-16,2025-03-30,42.89105,-2.600423,flowering,5,303.35088043213
2025-05-05,2025-03-30,42.3473267519,0.1069076452,flowering,5,209.29267425537194
2025-05-05,2025-03-30,42.2506067857,0.0311729854,flowering,5,187.2896377563485
2025-05-23,2025-03-30,42.2146863788,-0.3859573676,flowering,5,400.9864654541028
