observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-06-05,2025-04-06,45.8532199133,8.8978857011,flowering,5,512.6535125732436
2025-05-19,2025-04-06,45.41711,10.984446,flowering,5,460.73526611328225
2025-05-19,2025-04-06,44.76699563,10.30483998,flowering,5,434.7643112182627
2025-05-12,2025-04-06,45.0330891628,7.675155513,flowering,5,301.70571441650475
2025-05-10,2025-04-06,44.7755204048,10.9486071843,flowering,5,354.54788970947345
2025-05-10,2025-04-06,44.7910502716,10.8675891543,flowering,5,354.54788970947345
2025-04-25,2025-04-06,41.7658719221,12.6955772688,flowering,5,155.56637573242233
2025-05-03,2025-04-06,42.2387603105,14.0374243632,flowering,5,165.46217498779356
2025-05-03,2025-04-06,43.6890459144,10.3500469912,flowering,5,279.9223068237311
2025-04-27,2025-04-06,44.1122498436,10.4613494128,flowering,5,119.00549621582081
2025-04-27,2025-04-06,45.7787091047,11.7293259937,flowering,5,109.27563629150438
2025-04-06,2025-04-06,41.8419916667,12.5318277778,flowering,5,7.9357467651367415
2024-05-27,2024-04-06,42.2606088355,11.802670938,flowering,5,600.5298187255871
2024-05-26,2024-04-06,42.0783173867,13.4102726039,flowering,5,297.79672698974707
2024-06-24,2024-04-06,45.5122124182,9.2107959643,flowering,5,906.5460968017596
2024-06-17,2024-04-06,45.268803212,11.9997860491,flowering,5,884.7128417968767
2024-06-07,2024-04-06,46.1684361111,9.9896888889,flowering,5,76.19885711670008
2024-05-29,2024-04-06,45.3748459722,8.171625,flowering,5,507.76504364013795
2024-05-16,2024-04-06,38.6674584,16.5522852,flowering,5,
2024-05-12,2024-04-06,45.4317277778,9.372575,flowering,5,333.12858886718834
2024-05-09,2024-04-06,45.7122817094,9.7389554232,flowering,5,235.66593017578202
2024-04-28,2024-04-06,45.7123182307,9.7389373183,flowering,5,140.97700195312552
2024-04-26,2024-04-06,38.2271704,15.239219,flowering,5,
2024-04-14,2024-04-06,45.4447971092,8.0200692254,flowering,5,97.20014801025411
2024-04-18,2024-04-06,45.0468416667,7.6654966667,flowering,5,116.38155822753936
2024-04-16,2024-04-06,42.4995509722,12.3091509722,flowering,5,130.18457183837916
2024-04-14,2024-04-06,44.4672604567,11.2866336107,flowering,5,108.04509582519552
2024-04-06,2024-04-06,44.4822789124,11.3759674017,budding,5,11.745988464355491
2024-04-05,2024-04-06,43.6680088782,11.2162792683,flowering,5,8.182862854003929
2024-03-25,2024-04-06,44.650914,10.891821,flowering,5,4.67597351074221
2024-03-11,2024-04-06,38.8686452551,16.5788519382,flowering,5,8.007653808593773
2024-01-11,2024-04-06,40.7483883333,14.4835966667,flowering,5,4.612031555175804
2023-04-30,2023-04-22,41.8683405,12.5024367,flowering,5,89.52699127197286
2023-10-18,2023-04-22,44.2499155556,7.3834708333,flowering,5,1376.3480453491197
2023-04-29,2023-04-22,41.7597256691,12.3007747654,flowering,5,82.57464294433612
2023-05-03,2023-04-22,44.1165277772,10.4591332376,flowering,5,78.58793945312527
2023-06-24,2023-04-22,42.8328396435,12.1102043271,flowering,5,783.2434448242202
2023-04-30,2023-04-22,45.553243,9.313014,flowering,5,80.47417297363302
2023-06-10,2023-04-22,42.4887707406,13.4974259511,flowering,5,284.2327804565441
2023-06-08,2023-04-22,45.5867820345,8.8215112005,flowering,5,551.8241470336925
2023-05-16,2023-04-22,45.5215938173,9.2504884211,flowering,5,262.7182235717779
2023-05-12,2023-04-22,45.5709277778,9.0222694444,flowering,5,217.97843322753954
2023-05-06,2023-04-22,44.47140139,10.97387345,flowering,5,135.62638854980503
2023-05-04,2023-04-22,45.7424466667,7.3905916667,budding,5,2.2123916625977245
2023-05-03,2023-04-22,42.295288831,12.5951416,flowering,5,107.44523925781277
2023-04-29,2023-04-22,43.7510646658,11.2274587154,flowering,5,68.9826477050783
2023-04-28,2023-04-22,42.0110070714,12.6764081994,flowering,5,64.50811309814469
2023-04-22,2023-04-22,43.7396313749,11.2426028028,flowering,5,8.767053222656273
2023-04-23,2023-04-22,45.5771608743,8.7053047469,budding,5,16.060534667968795
2023-04-23,2023-04-22,45.676367602,9.7501565484,flowering,5,14.418803405761764
2023-04-22,2023-04-22,45.6833311301,9.5808398724,flowering,5,6.421060180664085
2023-04-22,2023-04-22,45.2815076997,10.0404359997,budding,5,9.047036743164085
2023-04-19,2023-04-22,45.0136970204,7.8178819521,flowering,5,9.455628967285179
2023-04-06,2023-04-22,45.0629055556,7.9544444444,flowering,5,3.9671112060547102
2023-01-08,2023-04-22,40.7485441991,14.4839719978,flowering,5,6.346864318847679
2023-01-08,2023-04-22,40.7485143236,14.4838712085,flowering,5,6.346864318847679
2023-01-08,2023-04-22,40.7485147516,14.4838423049,flowering,5,6.346864318847679
