observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-09-19,2025-04-04,38.4208869036,-78.8388142238,fruiting,5,2576.592932128901
2025-09-17,2025-04-04,43.1170524366,-77.4956145928,fruiting,5,2204.427099609371
2025-09-17,2025-04-04,40.4427612511,-8.7607116516,fruiting,5,2347.3591140747017
2025-09-13,2025-04-04,38.1547154,-121.2887736,fruiting,5,2714.915921020501
2025-09-13,2025-04-04,43.3250478998,2.5277117201,fruiting,5,2521.1041229247994
2025-05-25,2025-04-04,48.6573887703,6.2017472094,flowering,5,382.67393798828243
2025-09-10,2025-04-04,52.1114717633,-2.3250223261,fruiting,5,1732.1377182006809
2025-09-12,2025-04-04,41.0765018395,-80.7396328015,fruiting,5,2261.7852203369093
2025-09-09,2025-04-04,37.5274933828,-77.4144072645,fruiting,5,2810.1812194824156
2025-09-05,2025-04-04,36.5658833333,136.64055,fruiting,5,2596.6365737914994
2025-09-04,2025-04-04,43.1287791649,-77.4771450643,fruiting,5,2077.8287796020477
2025-08-26,2025-04-04,37.2350416561,-80.4211265214,fruiting,5,2276.6592483520467
2025-09-04,2025-04-04,38.2647646754,-79.5585864322,fruiting,5,2009.46144866943
2025-09-04,2025-04-04,37.96758494,-91.77622228,flowering,5,2631.6320404052685
2025-09-02,2025-04-04,38.1530222222,-121.2888333333,fruiting,5,2522.8893005371037
2025-09-02,2025-04-04,41.5451695,1.8913371,fruiting,5,2353.7325851440387
2025-09-01,2025-04-04,43.1646317295,-77.4474627572,fruiting,5,1915.8762893676735
2025-09-01,2025-04-04,44.4738,-77.312721,fruiting,5,1860.5766967773416
2025-08-30,2025-04-04,43.0446916667,-76.069375,fruiting,5,1921.265277099607
2025-08-30,2025-04-04,51.44964,-0.026005,fruiting,5,1636.0069107055647
2025-08-24,2025-04-04,46.95057,16.08175,fruiting,5,1835.3014389038062
2025-08-25,2025-04-04,35.5600070265,-90.7129863042,fruiting,5,2808.846205139155
2025-06-01,2025-04-04,41.266834,-72.929587,flowering,5,470.6649185180677
2025-08-25,2025-04-04,45.7702749997,3.2414401997,fruiting,5,1777.8639434814431
2025-08-21,2025-04-04,52.2217333565,7.7582144781,fruiting,5,1556.2463836669913
2024-05-25,2024-03-14,33.71682479,-82.0337663907,fruiting,5,1052.6605804443375
2025-05-15,2025-04-04,51.0903110862,17.049982287,flowering,5,282.31256713867276
2025-06-12,2025-04-04,43.2626305556,141.966375,flowering,5,352.1817077636732
2025-08-07,2025-04-04,50.7152560355,7.0799806532,fruiting,5,1402.552278137207
2025-08-06,2025-04-04,48.6272794295,13.1708978317,flowering,5,1375.8417709350583
2025-08-02,2025-04-04,42.172701,-80.093252,fruiting,5,1418.260974121094
2025-08-02,2025-04-04,45.6012849459,-73.5084212298,fruiting,5,1414.820347595215
2025-05-27,2025-04-04,42.9435881684,-85.585333866,flowering,5,370.2240020751964
2025-08-03,2025-04-04,39.0504364,-76.5081693997,fruiting,5,1989.4107772827128
2025-08-03,2025-04-04,35.0544619281,-88.2338636835,flowering,5,2271.8578674316373
2025-06-10,2025-04-04,43.9290218627,-78.8302110681,flowering,5,422.24080810547014
2025-05-28,2025-04-04,49.8900946997,-119.531548,flowering,5,393.33025360107547
2025-07-25,2025-04-04,43.1923424359,-77.5123291442,fruiting,5,1275.8071701049817
2025-07-18,2025-04-04,48.29488964,15.44380463,fruiting,5,1041.912130737307
2025-07-14,2025-04-04,43.1646834039,-77.4472750957,fruiting,5,1062.3563858032248
2025-07-13,2025-04-04,38.1673692,-85.7859279,fruiting,5,1531.1655975341796
2025-07-12,2025-04-04,41.5451695,1.8913371,fruiting,5,1370.7387390136723
2025-07-10,2025-04-04,35.5472333333,-82.4720783333,fruiting,5,1337.3980529785163
2025-07-08,2025-04-04,37.56567804,-77.54227007,fruiting,5,1568.860879516601
2025-05-21,2025-04-04,42.2745883333,-83.699555,flowering,5,351.4872695922861
2025-06-11,2025-04-04,42.7057216667,-86.202055,flowering,5,408.1884384155287
2025-06-06,2025-04-04,50.1312588512,-119.5039967578,flowering,5,356.81906738281384
2025-06-05,2025-04-04,43.0425864125,-82.6031394303,flowering,5,448.8914810180677
2025-07-03,2025-04-04,45.269729105,-76.2503426763,fruiting,5,789.6433975219745
2025-06-27,2025-04-04,54.702973,20.515671,fruiting,5,578.5800003051776
2025-04-18,2025-04-04,38.6315127803,-121.2713639448,flowering,5,174.10561370849643
2025-07-03,2025-04-04,47.7129364011,142.0239105222,flowering,5,
2025-07-02,2025-04-04,43.1922761518,-77.5122060143,fruiting,5,842.4668487548847
2025-07-02,2025-04-04,38.1781583559,-84.9039869383,fruiting,5,1276.5650100708017
2025-06-25,2025-04-04,45.1936722222,141.1545269444,flowering,5,410.9235733032243
2025-06-29,2025-04-04,40.0070694444,-75.0422783333,fruiting,5,1162.929252624513
2025-05-04,2025-04-04,44.8765869139,20.6314182281,flowering,5,299.7862686157233
2025-06-27,2025-04-04,37.1737632,-118.2985215,fruiting,5,1012.934536743166
2025-06-17,2025-04-04,45.4312365386,-73.4819387281,flowering,5,595.9614974975601
2025-06-20,2025-04-04,48.4118921,-2.0888264,flowering,5,746.2719161987322
2025-06-20,2025-04-04,43.1923152042,-77.5121641659,fruiting,5,620.3282424926774
2025-06-09,2025-04-04,44.5286899954,-89.5031078615,flowering,5,457.8261550903334
2025-06-19,2025-04-04,49.4066047997,-123.5327462997,flowering,5,
2025-06-01,2025-04-04,46.8316,-120.7144383333,flowering,5,365.96451110839973
2025-06-18,2025-04-04,44.2949289536,-72.3050204956,flowering,5,459.7756652832046
2025-06-04,2025-04-04,43.860981,-79.2111154,flowering,5,338.37905731201295
2025-06-17,2025-04-04,43.1926803489,-77.5129101167,fruiting,5,571.6055282592789
2025-06-15,2025-04-04,44.7200446054,-77.3928132637,flowering,5,477.16301422119284
2025-06-16,2025-04-04,43.9748383333,-78.1837,flowering,5,507.7795059204117
2025-06-03,2025-04-04,36.0855603736,-81.8284590301,flowering,5,568.514443969728
2025-06-14,2025-04-04,45.9751396885,-66.6552060843,flowering,5,426.03132934570453
2025-06-14,2025-04-04,45.9748638075,-66.655090414,budding,5,426.03132934570453
2025-06-13,2025-04-04,43.9137966141,-69.8155898028,flowering,5,454.5108993530288
2025-06-13,2025-04-04,43.0142609217,-81.2639719807,flowering,5,548.7781341552749
2025-06-11,2025-04-04,45.4765691899,-89.7299658754,flowering,5,439.24297790527476
2025-05-10,2025-04-04,44.4213590167,7.7308673921,flowering,5,266.73518676757897
2025-05-20,2025-04-04,39.4968533333,-121.2783883333,flowering,5,502.4321166992198
2025-06-10,2025-04-04,44.5940301,-89.6287487,flowering,5,476.9597930908217
2025-05-21,2025-04-04,34.9888805556,136.3123555556,flowering,5,472.4717071533214
2025-06-08,2025-04-04,43.9970491357,-72.1215860723,flowering,5,409.6896896362317
2025-06-10,2025-04-04,43.7864532471,142.3069458008,flowering,5,368.54753265380987
2025-06-04,2025-04-04,44.2995163171,-78.3164972222,flowering,5,380.76933288574344
2025-05-19,2025-04-04,49.0834314567,-119.5280091988,flowering,5,251.76197204589948
2025-06-06,2025-04-04,36.3400983333,138.6401316667,flowering,5,502.5558044433608
2025-06-08,2025-04-04,43.645413,-72.949816,flowering,5,403.1713195800794
2025-06-08,2025-04-04,43.1923139637,-77.5123963348,fruiting,5,451.9480285644545
2025-06-09,2025-04-04,43.1927512,131.9249767,budding,5,
2025-05-30,2025-04-04,49.9044380188,-119.3902816772,flowering,5,381.81647033691536
2025-06-04,2025-04-04,47.1523524903,7.0031381906,flowering,5,300.250038146974
2025-06-08,2025-04-04,42.3274583333,-76.4182527778,flowering,5,473.26198425293103
2025-06-08,2025-04-04,43.5610688758,-70.3706482799,flowering,5,425.07756042480605
2025-06-04,2025-04-04,42.305736402,-71.58735034,flowering,5,509.93280944824346
2025-06-08,2025-04-04,45.4339716667,9.1341721667,fruiting,5,758.119767761232
2025-06-07,2025-04-04,38.68547095,-9.14837625,fruiting,5,811.4649276733413
2025-05-29,2025-04-04,41.9397479979,-87.6923464244,flowering,5,339.06648254394645
2025-06-07,2025-04-04,43.4679533333,-80.6026,flowering,5,416.800753784181
2025-06-06,2025-04-04,47.4524728552,-122.4570786953,flowering,5,506.6215881347671
