observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-09-18,2025-02-09,52.469129485,9.6253162622,fruiting,5,1973.9514083862268
2025-09-17,2025-02-09,55.9335255,-3.3998565,fruiting,5,1343.097474670411
2025-07-29,2025-02-09,46.4941297,6.4778855997,fruiting,5,1586.3057708740234
2025-07-29,2025-02-09,46.4918790997,6.4802707,fruiting,5,1586.3057708740234
2025-09-15,2025-02-09,50.976304434,-3.1464522531,fruiting,5,1801.155949401853
2025-09-12,2025-02-09,50.550147,30.2399939722,fruiting,5,2016.6876831054656
2025-09-14,2025-02-09,46.8854583333,15.9552516667,fruiting,5,2225.618658447261
2025-08-24,2025-02-09,42.9886389973,-1.9049454108,fruiting,5,1764.7772048950183
2025-09-13,2025-02-09,51.7937233167,-0.1165583333,fruiting,5,1920.6632751464813
2025-09-13,2025-02-09,47.2893409729,10.4321146011,fruiting,5,690.9116485595731
2025-09-08,2025-02-09,52.6330479176,-2.1599946629,fruiting,5,1731.7699523925762
2025-09-12,2025-02-09,42.8067366667,-1.6954966667,fruiting,5,2226.950781249996
2025-09-10,2025-02-09,54.6984244391,-1.218008548,flowering,5,1603.7742156982413
2025-09-09,2025-02-09,52.1921,0.1248,fruiting,5,1910.6108810424776
2025-09-09,2025-02-09,47.0948599856,14.4101971015,fruiting,5,1205.5387191772475
2025-09-07,2025-02-09,51.4432683167,0.2303266667,fruiting,5,1857.594114685056
2025-09-07,2025-02-09,50.0407055408,36.2800174579,fruiting,5,2048.0742599487276
2025-09-06,2025-02-09,47.4656033333,9.1627138333,fruiting,5,1842.8332595825168
2025-09-06,2025-02-09,49.391211602,20.4031173885,fruiting,5,1460.1893264770506
2025-09-05,2025-02-09,47.0619033333,16.37854,fruiting,5,2181.1605819702113
2025-05-21,2025-02-09,44.0125313165,27.7634590119,flowering,5,545.4506088256853
2025-09-03,2025-02-09,48.586937772,9.0341942036,fruiting,5,1748.9041137695294
2025-09-03,2025-02-09,47.1560763212,15.4327845014,fruiting,5,1597.4769744873038
2025-09-03,2025-02-09,46.8001166667,15.8506883333,fruiting,5,2106.856825256344
2025-09-03,2025-02-09,47.1784625661,15.4391879029,fruiting,5,1597.4769744873038
2025-09-03,2025-02-09,47.1904377652,15.4750378952,fruiting,5,1631.8179336547837
2025-09-02,2025-02-09,46.3629286997,13.7148717997,fruiting,5,1164.5460800170918
2025-09-02,2025-02-09,48.2636351,16.3414925997,fruiting,5,2057.365455627438
2025-09-01,2025-02-09,47.0854000915,11.4648545984,fruiting,5,692.03093261719
2025-09-01,2025-02-09,51.448575,-2.0510777778,fruiting,5,1738.7409805297834
2025-08-24,2025-02-09,46.94461,16.08102,fruiting,5,1946.114071655271
2025-08-31,2025-02-09,45.3737427286,4.4832332432,fruiting,5,1687.3868759155262
2025-08-30,2025-02-09,51.4536599833,-0.0185183167,fruiting,5,1823.4266601562476
2025-08-30,2025-02-09,52.1714506661,0.0998329069,fruiting,5,1792.1636535644511
2025-08-30,2025-02-09,55.9218075511,-3.2546733166,fruiting,5,1228.01896209717
2025-08-30,2025-02-09,55.9219762879,-3.2542550739,fruiting,5,1228.01896209717
2025-08-06,2025-02-09,45.7719688333,3.0833699444,fruiting,5,1472.3613815307617
2025-08-29,2025-02-09,52.4115527778,-1.5397333333,fruiting,5,1696.2972808837876
2025-08-29,2025-02-09,50.0372724307,36.2793361768,fruiting,5,1912.8839614868143
2025-08-28,2025-02-09,50.0387718491,36.2782948092,fruiting,5,1898.6660568237285
2025-08-14,2025-02-09,48.8003853489,-3.438421842,fruiting,5,1616.5442306518548
2025-08-27,2025-02-09,48.3988418579,6.7165236473,fruiting,5,1795.6593536376931
2025-08-27,2025-02-09,48.3276883333,14.34987,fruiting,5,1779.8510620117167
2025-08-27,2025-02-09,50.0366733394,36.2791504338,fruiting,5,1886.6957107543926
2025-08-26,2025-02-09,53.3588854735,-6.3104030483,fruiting,5,1531.950332641601
2025-08-24,2025-02-09,50.0389082575,36.2733170139,fruiting,5,1856.0978363037093
2025-08-24,2025-02-09,50.0390737839,36.272895398,fruiting,5,1856.0978363037093
2025-08-26,2025-02-09,45.26767181,4.88717577,fruiting,5,2192.0762100219695
2025-08-26,2025-02-09,53.229790192,-2.8881628532,fruiting,5,1615.25623474121
2025-08-26,2025-02-09,41.7654155,13.9429552,fruiting,5,1269.6796768188487
2025-08-26,2025-02-09,48.3799021,-0.0511578997,fruiting,5,1886.3134002685524
2025-08-25,2025-02-09,53.1631404022,-2.6666086167,fruiting,5,1569.1497390747063
2025-08-26,2025-02-09,53.2299018419,-2.887557596,fruiting,5,1615.25623474121
2025-08-26,2025-02-09,51.1220849997,-2.5141941,fruiting,5,1657.731816101073
2025-08-24,2025-02-09,46.955261,16.160038,fruiting,5,2004.564833068845
2025-08-25,2025-02-09,51.345075,12.3522966667,fruiting,5,1727.154791259764
2025-08-25,2025-02-09,46.87787,16.00384,fruiting,5,1933.155393981931
2025-08-25,2025-02-09,54.2070180674,-0.8031404033,fruiting,5,1450.430223083496
2025-08-24,2025-02-09,51.0648714954,-2.6214581034,fruiting,5,1642.6333099365224
2025-07-29,2025-02-09,45.7563018611,3.2420599444,fruiting,5,1472.3387054443365
2025-08-24,2025-02-09,47.1333103065,15.5316685152,fruiting,5,1664.6978042602527
2025-08-24,2025-02-09,47.8036694444,13.4528166667,fruiting,5,1308.6123214721692
2025-08-24,2025-02-09,50.5201088,9.1773071,fruiting,5,1485.8164733886715
2025-08-24,2025-02-09,50.5660699967,21.8698119745,fruiting,5,1686.537413024901
2025-08-24,2025-02-09,53.3426785512,-1.9480235577,fruiting,5,1257.9474395751968
2025-08-23,2025-02-09,48.0226758,7.2915105,fruiting,5,1857.1180801391579
2025-08-23,2025-02-09,52.1058153335,0.2265529458,fruiting,5,1665.562268066405
2025-08-23,2025-02-09,52.0957305844,-1.8331849503,fruiting,5,1652.1025177001943
2025-08-23,2025-02-09,41.5576704442,1.5006731451,fruiting,5,2285.6503128051727
2025-08-22,2025-02-09,52.3797,-1.7022,fruiting,5,1582.8649490356438
2025-08-22,2025-02-09,45.4914801997,17.6493888,fruiting,5,1943.5428604125955
2025-06-08,2025-02-09,49.5200250611,34.4884104759,flowering,5,659.786703491213
2025-08-16,2025-02-09,55.77933166,37.76868105,fruiting,5,1404.0009979248048
2025-08-22,2025-02-09,46.8884720793,15.5131263938,fruiting,5,1785.9442535400372
2025-08-22,2025-02-09,54.661903497,-1.190119274,fruiting,5,1384.1996932983407
2025-08-22,2025-02-09,55.9375045,-3.2616557,fruiting,5,1145.705320739749
2025-08-21,2025-02-09,52.2861829,-2.8072015,fruiting,5,1474.2608428955077
2025-08-21,2025-02-09,50.0362196013,36.2793807685,fruiting,5,1815.0471496582018
2025-08-21,2025-02-09,49.0630629997,18.2867379997,fruiting,5,1555.1740859985348
2025-08-08,2025-02-09,54.935525,21.9493583333,fruiting,5,1228.385643005373
2025-08-20,2025-02-09,54.5207952401,-1.5810401861,fruiting,5,1293.5476181030285
2025-08-20,2025-02-09,53.592985577,-3.0546075851,fruiting,5,
2025-08-20,2025-02-09,52.4369301997,-2.8319584997,fruiting,5,1405.556321716309
2025-08-20,2025-02-09,50.0364424869,36.2795815989,fruiting,5,1798.4000228881823
2025-08-19,2025-02-09,53.1998527778,-1.06875,fruiting,5,1474.9960159301759
2025-08-17,2025-02-09,52.1780305356,-0.1579303108,fruiting,5,1618.6235702514641
2025-08-18,2025-02-09,55.8563378167,-3.3369604,fruiting,5,1112.7949447631868
2025-05-28,2025-02-09,47.8658210742,16.836956124,flowering,5,583.1640029907245
2025-08-17,2025-02-09,51.5952833333,0.0104683333,fruiting,5,1662.093450927733
2025-08-16,2025-02-09,41.2251479644,20.9031572565,fruiting,5,1632.2726196289059
2025-08-16,2025-02-09,46.8250367464,18.8651406672,fruiting,5,2080.920600891111
2025-08-15,2025-02-09,52.6136679633,1.3036524827,fruiting,5,1507.3665512084958
2025-08-09,2025-02-09,48.3023577724,16.2946669188,fruiting,5,1664.3889099121084
2025-05-03,2025-02-09,41.8919149722,2.5239276944,budding,5,373.9024810791034
2025-08-15,2025-02-09,50.0364125536,36.2793968618,fruiting,5,1727.1305297851554
2025-08-05,2025-02-09,50.7885881301,-1.0352067845,fruiting,5,
2025-08-14,2025-02-09,40.7528927448,-8.3902043073,fruiting,5,2161.7497131347627
2025-08-14,2025-02-09,45.6811218262,2.9987998009,fruiting,5,1439.241757202149
2025-08-14,2025-02-09,50.03927,36.272591,fruiting,5,1714.176777648925
2025-08-12,2025-02-09,50.9405379722,24.2884169722,fruiting,5,1420.312519836426
2025-08-12,2025-02-09,51.43475,-0.9041966667,fruiting,5,1535.484222412109
2025-08-12,2025-02-09,51.3393906167,-3.11095395,fruiting,5,
2025-08-11,2025-02-09,46.7555288565,15.3778560902,fruiting,5,1746.4195953369126
2025-08-11,2025-02-09,46.8076578,15.8887602,fruiting,5,1761.8019348144517
2025-08-10,2025-02-09,53.700562,-2.739805,fruiting,5,1260.5924514770522
2025-08-11,2025-02-09,50.0404105394,36.2739516422,flowering,5,1674.3312835693355
2025-08-04,2025-02-09,50.7352611111,7.1067611111,fruiting,5,1486.636589050293
2025-08-10,2025-02-09,40.1106563277,-7.716403529,fruiting,5,2130.803143310545
2025-08-10,2025-02-09,48.9794494891,9.2125520146,fruiting,5,1632.4094268798817
2025-05-11,2025-02-09,51.5017861167,11.90521945,budding,5,344.34889221191554
2025-08-09,2025-02-09,49.61777967,6.11637379,fruiting,5,1408.5815231323245
2025-08-07,2025-02-09,50.8103307,4.4053829,fruiting,5,1563.4350067138666
2025-08-08,2025-02-09,51.665750769,-3.9025269449,fruiting,5,1300.164112854005
2025-08-07,2025-02-09,50.8106077997,4.4164151,fruiting,5,1563.4350067138666
2025-08-07,2025-02-09,50.8092624,4.4192726,fruiting,5,1563.4350067138666
2025-08-07,2025-02-09,47.4222099977,15.8493668101,fruiting,5,1134.3152877807638
2025-08-06,2025-02-09,51.492805,-0.111889,fruiting,5,1476.1195999145507
2025-08-06,2025-02-09,53.9403199,-1.0917787,fruiting,5,1270.8773925781265
2025-08-05,2025-02-09,50.8177027997,4.3953363,fruiting,5,1537.106748962402
2025-07-30,2025-02-09,50.9836499476,5.8883711323,fruiting,5,1486.982763671875
2025-08-03,2025-02-09,53.338159,-6.2658512,fruiting,5,1157.6487289428737
2025-07-29,2025-02-09,40.0141982778,-8.3357295833,fruiting,5,1809.6391845703115
2025-07-31,2025-02-09,50.4684648767,4.8362360895,fruiting,5,1405.663932800293
2025-08-01,2025-02-09,49.0157583865,37.572545819,fruiting,5,1697.6614089965815
2025-05-31,2025-02-09,55.3913138889,10.3844694444,flowering,5,426.21162872314653
2025-07-29,2025-02-09,42.6246133333,-0.1114361667,fruiting,5,971.0201431274439
2025-07-31,2025-02-09,51.1087342,-1.4920956,fruiting,5,1357.5151397705085
2025-07-26,2025-02-09,50.896841,24.476607,fruiting,5,1170.3967834472678
2025-07-26,2025-02-09,50.897817,24.475248,flowering,5,1170.3967834472678
2025-07-29,2025-02-09,45.7563018611,3.2420599444,fruiting,5,1472.3387054443365
2025-05-27,2025-02-09,49.7444944444,6.6248944444,budding,5,431.27399139404486
2025-07-26,2025-02-09,50.9012777,24.4743428997,fruiting,5,1170.3967834472678
2025-07-29,2025-02-09,51.468404367,6.9607880339,fruiting,5,1441.2416107177737
2025-07-28,2025-02-09,56.003537,-3.515882,fruiting,5,995.8676910400424
2025-07-28,2025-02-09,43.0210822303,-7.4788813141,fruiting,5,1435.8148834228523
2025-07-26,2025-02-09,47.3589565997,19.8289615997,fruiting,5,1661.073072814941
2025-07-28,2025-02-09,50.040347017,36.2740720063,fruiting,5,1437.704164123536
2025-07-27,2025-02-09,55.9371933,-3.2602496,fruiting,5,883.0423171997103
2025-07-26,2025-02-09,50.888845,24.4708369722,fruiting,5,1170.3967834472678
2025-07-25,2025-02-09,43.844270812,10.3480535746,fruiting,5,1946.512850952147
2025-07-12,2025-02-09,38.9120521389,-9.3697366667,flowering,5,1649.546041870116
2025-07-27,2025-02-09,57.0616836548,9.9078483582,fruiting,5,1051.8354278564484
2025-07-26,2025-02-09,51.40667665,-1.5046183333,fruiting,5,1237.2080169677752
2025-07-26,2025-02-09,51.4244888889,6.7100555556,fruiting,5,1430.2361587524415
2025-07-26,2025-02-09,46.6869724791,15.9663930518,fruiting,5,1560.3142929077148
2025-07-25,2025-02-09,50.0399047263,36.2724878266,fruiting,5,1380.8216445922862
2025-07-20,2025-02-09,48.3397354251,14.309566389,fruiting,5,1232.7773269653335
2025-07-24,2025-02-09,43.9854313,3.8282107997,fruiting,5,1686.5136703491212
2025-07-24,2025-02-09,53.8265289785,-1.5179780032,fruiting,5,1080.6065551757843
2025-07-23,2025-02-09,47.1762138889,12.9252472222,flowering,5,473.4502120971698
2025-07-23,2025-02-09,52.2108616667,0.1225166667,fruiting,5,1280.9805435180679
2025-07-23,2025-02-09,51.4022722222,6.6446055556,fruiting,5,1387.3611022949226
2025-07-22,2025-02-09,50.84335,24.3076299722,fruiting,5,1116.7293289184595
2025-07-19,2025-02-09,42.051283721,13.92209723,fruiting,5,1258.9726776123061
2025-07-22,2025-02-09,50.8482569722,24.3002959722,fruiting,5,1116.7293289184595
2025-07-21,2025-02-09,50.0366757082,36.279444471,fruiting,5,1309.8977035522475
2025-05-20,2025-02-09,46.9485104403,16.1039422272,flowering,5,456.6934539794938
2025-05-22,2025-02-09,51.489451,-0.316255,flowering,5,476.87197265625184
2025-07-08,2025-02-09,43.3376416978,17.8149066157,fruiting,5,1301.4061355590839
2025-07-18,2025-02-09,50.851618,24.2721249722,fruiting,5,1056.0261199951196
2025-07-18,2025-02-09,50.8503313,24.2719903997,fruiting,5,1056.0261199951196
2025-07-18,2025-02-09,50.850932,24.2850789722,fruiting,5,1056.0261199951196
2025-07-18,2025-02-09,46.7535652505,15.373175852,fruiting,5,1363.9703170776374
2025-07-16,2025-02-09,52.0973601091,-2.3119076651,fruiting,5,1130.2714660644556
2025-07-17,2025-02-09,52.562025298,-0.2745663375,flowering,5,1179.83963775635
2025-07-16,2025-02-09,47.2787326866,14.7755331349,fruiting,5,702.6628387451194
2025-07-16,2025-02-09,51.4987838524,3.6109979823,fruiting,5,1214.9137756347673
2025-07-13,2025-02-09,44.8926013889,11.67281,fruiting,5,1754.7902038574216
2025-07-12,2025-02-09,44.7804297222,11.3721680556,fruiting,5,1764.7853958129876
2025-06-09,2025-02-09,48.0933302,16.2634088,flowering,5,658.2406845092794
2025-07-10,2025-02-09,50.0391196179,36.2732747197,fruiting,5,1100.491299438479
2025-07-09,2025-02-09,49.0385483,6.3447669,fruiting,5,1160.4030609130878
2025-07-07,2025-02-09,42.1592475715,1.7719742283,flowering,5,737.5151199340843
2025-07-05,2025-02-09,48.2116816696,16.5263121575,fruiting,5,1188.220744323732
2025-07-05,2025-02-09,51.4651066667,-0.1844883167,fruiting,5,1035.1358322143583
2025-07-04,2025-02-09,48.307943,24.8308679722,flowering,5,535.3803817749044
2025-07-03,2025-02-09,40.1034732317,22.498366995,fruiting,5,1006.568110656741
2025-06-30,2025-02-09,54.42837902,18.58226487,flowering,5,674.4530487060571
2025-07-03,2025-02-09,47.1757779375,16.3528570533,fruiting,5,1066.9993591308616
2025-07-02,2025-02-09,57.2557030979,9.6195646669,flowering,5,
2025-07-01,2025-02-09,47.0225437863,15.3975588083,fruiting,5,953.8115463256862
2025-07-01,2025-02-09,50.7220798695,7.055818364,fruiting,5,1014.3813873291043
2025-06-29,2025-02-09,45.433255,9.1347805,fruiting,5,1399.072103881837
2025-06-29,2025-02-09,41.05888735,14.4027663767,fruiting,5,1420.7960601806653
2025-06-29,2025-02-09,41.7355080997,14.0319827997,flowering,5,720.9311141967797
