observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-09-20,2025-04-25,38.4212652949,-78.4064062028,flowering,5,2382.348240661616
2024-05-19,2024-05-31,48.4631919861,8.4120864868,flowering,5,7.0693222045898665
2025-09-20,2025-04-25,35.61655,139.4196466667,flowering,5,2685.4320343017525
2025-09-16,2025-04-25,44.4394888889,-89.5032833333,flowering,5,1967.6290481567348
2025-09-19,2025-04-25,41.7419313844,-74.083399123,flowering,5,2107.6498153686484
2025-09-19,2025-04-25,40.6924514771,-74.014175415,flowering,5,2367.9612701415967
2025-09-19,2025-04-25,44.3415668578,-78.2135719727,flowering,5,2001.101521301266
2025-09-18,2025-04-25,43.2384583333,76.8981861111,flowering,5,1800.5011108398407
2024-08-02,2024-05-31,56.1389140221,69.4580102331,flowering,5,868.9252151489272
2025-09-19,2025-04-25,59.613688,59.553668,flowering,5,1224.9824096679686
2025-09-13,2025-04-25,49.3481,-123.0223222222,flowering,5,1678.0503112792953
2025-09-18,2025-04-25,40.8072366667,-77.8706583333,flowering,5,2015.7140090942344
2025-09-17,2025-04-25,41.3621022304,-83.6688649185,flowering,5,2217.631771850581
2025-09-05,2025-04-25,40.7072416667,-111.310355,flowering,5,1352.7272750854495
2025-07-29,2025-04-25,46.5012169,6.4612151997,flowering,5,1295.3313995361332
2025-09-18,2025-04-25,51.4685133333,-2.4768616667,flowering,5,1634.4798934936498
2025-09-18,2025-04-25,53.9497222222,-1.0484277778,flowering,5,1507.664059448241
2025-09-16,2025-04-25,60.359788,5.474501,flowering,5,1021.6313873291048
2025-08-29,2025-04-25,45.0258868523,-74.730345,flowering,5,1820.904811096189
2025-09-14,2025-04-25,49.9042287514,-96.9638965721,flowering,5,1874.0242248535124
2025-07-29,2025-04-25,46.4954486,6.4766747,flowering,5,1295.3313995361332
2025-09-12,2025-04-25,53.0980982824,-2.4698852897,flowering,5,1504.9218612670884
2025-09-17,2025-04-25,42.95803,-0.3368133333,flowering,5,1434.2375900268548
2025-09-17,2025-04-25,42.3195142089,-82.9456126253,fruiting,5,2188.4801147460894
2025-09-16,2025-04-25,47.99672106,7.83345749,flowering,5,1888.9655426025352
2025-08-17,2025-04-25,64.5379495932,34.7831801778,flowering,5,879.3884460449241
