observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative
2025-09-20,2025-01-15,47.510285161,6.9630175423,flowering,5,1994.2711059570279
2025-09-20,2025-01-15,-35.6267124127,174.5390484492,flowering,5,2763.8090713500833
2025-09-14,2025-01-15,-33.4307808684,-66.3123904747,flowering,5,2933.0675643920736
2025-09-18,2025-01-15,52.6440864497,1.1553693768,flowering,5,1878.7482528686496
2025-09-17,2025-01-15,19.268225,-99.128175,flowering,5,2943.922947692859
2025-09-17,2025-01-15,19.3158138889,-99.1843777778,flowering,5,2456.852833557119
2025-09-16,2025-01-15,-34.5386117545,-58.4430260584,flowering,5,
2025-09-15,2025-01-15,19.2784518437,-99.2176758125,flowering,5,2456.852833557119
2025-09-15,2025-01-15,-35.678993574,-63.6986025898,flowering,5,2646.8467758178554
2025-09-13,2025-01-15,-37.9250579722,145.333798,flowering,5,2166.2058807372905
2025-09-13,2025-01-15,-34.5418626269,-58.7174716964,flowering,5,2821.744512939437
2025-04-18,2025-01-15,41.0906519722,-81.4420939722,flowering,5,188.92778625488359
2025-09-10,2025-01-15,-41.1018517997,174.9173777997,flowering,5,1942.4003814697148
2025-09-10,2025-01-15,-43.6425116667,172.4849383333,flowering,5,1517.5572128295807
2025-09-07,2025-01-15,-26.7850716667,-65.39192,flowering,5,2440.1826980590677
2025-09-09,2025-01-15,-36.2906232726,146.7314494774,flowering,5,2026.294184875475
2025-09-07,2025-01-15,-34.9048894507,-57.933455432,flowering,5,2736.06871490477
2025-09-07,2025-01-15,37.26444561,-121.7950472,flowering,5,2755.612619018548
2025-09-07,2025-01-15,42.7951251963,-78.0223596963,flowering,5,2041.5193588256802
2025-07-27,2025-01-15,-29.1176514,-59.657362,flowering,5,3191.2686981201045
2025-09-03,2025-01-15,-33.0069003313,-68.8748319447,flowering,5,1988.6457015991077
2025-09-04,2025-01-15,54.6984244391,-1.218008548,flowering,5,1553.0369857788082
2025-09-03,2025-01-15,40.36231,-75.1472123333,flowering,5,2437.436212158199
2025-09-03,2025-01-15,-37.8148735052,175.2886272456,flowering,5,2178.8138076782097
2025-09-03,2025-01-15,-44.4183277146,171.2583189424,flowering,5,
2025-09-01,2025-01-15,-41.2692575324,173.0449710025,flowering,5,1673.0701126098525
2025-09-01,2025-01-15,-36.91638,174.8678583333,flowering,5,
2025-08-30,2025-01-15,-36.8239636207,175.7017701957,flowering,5,
2025-08-28,2025-01-15,-32.3477533333,-58.01311945,flowering,5,2892.3009841918797
2025-08-26,2025-01-15,-36.2906232726,146.7314494774,flowering,5,1975.324018859851
2025-08-27,2025-01-15,-33.9344783333,18.864725,flowering,5,2527.9343719482285
2025-08-27,2025-01-15,-41.3075350318,174.7911067586,flowering,5,
2025-04-12,2025-01-15,34.2018707519,134.8020473659,flowering,5,
2025-08-01,2025-01-15,52.136065,-10.2671616667,flowering,5,1336.2468368530285
2025-08-25,2025-01-15,-34.78595,150.7501361111,flowering,5,2488.0882080077995
2025-04-14,2025-01-15,43.0266230554,-76.1704890803,flowering,5,90.16607818603563
2025-08-23,2025-01-15,-34.43895,-58.5448944444,flowering,5,2706.840397644029
2025-08-22,2025-01-15,48.4416088226,-2.0720703692,flowering,5,1884.363606262205
2025-08-16,2025-01-15,-41.2852280043,174.7611995517,flowering,5,
2025-08-20,2025-01-15,-41.2612883333,173.2592466667,flowering,5,1430.7592941284101
2025-08-19,2025-01-15,42.5889074,1.3273063,flowering,5,948.0223831176784
2025-08-19,2025-01-15,-36.2232354266,150.1239163207,flowering,5,2378.9936477661013
2025-08-10,2025-01-15,53.4568084803,-7.1049959958,flowering,5,1336.6580108642593
2025-08-17,2025-01-15,53.1921069243,-6.110304147,flowering,5,1314.849278259279
2025-08-11,2025-01-15,26.8215416667,104.2485166667,flowering,5,1557.0802215576168
