observed_on,season_start,latitude,longitude,phenophase,t_base,gdd_cumulative,species
2025-09-16,2025-05-26,42.3725601,-71.2340741,fruiting,5,1848.84546203613,Ailanthus_altissima
2025-09-16,2025-05-26,42.3618783333,-71.255875,fruiting,5,1849.4537231445283,Ailanthus_altissima
2025-09-17,2025-05-26,53.3890533447,-2.9650714397,fruiting,5,1295.6906311035154,Ailanthus_altissima
2025-09-17,2025-05-26,41.1300468445,28.9624385834,fruiting,5,2155.484828186032,Ailanthus_altissima
2025-09-15,2025-05-26,47.9876280483,16.3032186683,fruiting,5,1716.3359176635718,Ailanthus_altissima
2025-09-15,2025-05-26,42.2760413,-71.8052050997,fruiting,5,1804.2664520263645,Ailanthus_altissima
2025-09-13,2025-05-26,42.2040773171,-82.9717471421,fruiting,5,1885.045747375485,Ailanthus_altissima
2025-09-13,2025-05-26,45.4287116667,-122.6419966667,flowering,5,1801.407792663572,Ailanthus_altissima
2025-08-17,2025-05-26,49.718543776,4.9345064423,fruiting,5,1156.0826934814463,Ailanthus_altissima
2025-09-09,2025-05-26,45.3535706522,-122.6086834062,fruiting,5,1744.1703750610332,Ailanthus_altissima
2025-09-11,2025-05-26,43.1929560509,-77.5127669064,fruiting,5,1754.6308731079075,Ailanthus_altissima
2025-09-10,2025-05-26,38.1840381,-121.3213740997,fruiting,5,1961.980816650388,Ailanthus_altissima
2025-09-09,2025-05-26,43.1811625771,-77.5097216751,fruiting,5,1727.7243453979468,Ailanthus_altissima
2025-08-28,2025-05-26,42.4735053797,-71.1592177122,fruiting,5,1603.9053878784166,Ailanthus_altissima
2025-09-05,2025-05-26,42.2058350597,-71.4245698011,fruiting,5,1734.9318740844706,Ailanthus_altissima
2025-09-07,2025-05-26,40.7396757953,-74.178813787,fruiting,5,1902.4852371215788,Ailanthus_altissima
2025-09-07,2025-05-26,38.2529833333,-121.5054555556,fruiting,5,1908.1202239990207,Ailanthus_altissima
2025-09-07,2025-05-26,42.4327675559,-71.2064749985,fruiting,5,1760.8208389282204,Ailanthus_altissima
2025-09-07,2025-05-26,42.3309536306,-72.6739667729,fruiting,5,1719.3616867065407,Ailanthus_altissima
2025-09-06,2025-05-26,40.3464618536,-3.6686134306,fruiting,5,2248.0173782348597,Ailanthus_altissima
2025-09-06,2025-05-26,51.5307327,-0.4742824,fruiting,5,1390.4011444091789,Ailanthus_altissima
2025-09-03,2025-05-26,42.2011111111,-70.9736166667,fruiting,5,1651.9900451660135,Ailanthus_altissima
2025-09-05,2025-05-26,42.2051585013,-71.4239833074,fruiting,5,1734.9318740844706,Ailanthus_altissima
2025-09-05,2025-05-26,42.2060563135,-71.4243206218,fruiting,5,1734.9318740844706,Ailanthus_altissima
2025-09-04,2025-05-26,40.303736,-3.614861,fruiting,5,2221.1114227294884,Ailanthus_altissima
2025-09-04,2025-05-26,40.3029,-3.614808,fruiting,5,2221.1114227294884,Ailanthus_altissima
2025-08-26,2025-05-26,42.2284890847,-71.3099502509,fruiting,5,1586.4078186035144,Ailanthus_altissima
2025-09-03,2025-05-26,43.19369133,-77.5126921602,fruiting,5,1653.2174774169905,Ailanthus_altissima
2025-09-03,2025-05-26,51.345597,12.3689701,flowering,5,1441.367219543456,Ailanthus_altissima
