latitude,longitude,place_country_name,scientific_name,common_name,Day,Month,Year
43.5978908751,12.2302465503,Italy,Agrotis ipsilon,Ipsilon Dart Moth,21,9,2023
44.8335129753,11.4613428193,Italy,Agrotis ipsilon,Ipsilon Dart Moth,22,9,2023
44.8833885192,12.2323617933,Italy,Agrotis ipsilon,Ipsilon Dart Moth,25,9,2023
44.8834228514,12.2322092056,Italy,Agrotis ipsilon,Ipsilon Dart Moth,2,10,2023
44.8805923461,12.2433481214,Italy,Agrotis ipsilon,Ipsilon Dart Moth,3,10,2023
44.8825798033,12.2314300536,Italy,Agrotis ipsilon,Ipsilon Dart Moth,3,10,2023
42.2673662977,13.3292255531,Italy,Agrotis ipsilon,Ipsilon Dart Moth,3,10,2023
45.099859402,7.2818507999,Italy,Agrotis ipsilon,Ipsilon Dart Moth,15,10,2023
43.919472,10.2934114,Italy,Agrotis ipsilon,Ipsilon Dart Moth,10,10,2023
45.0694424943,7.5664128095,Italy,Agrotis ipsilon,Ipsilon Dart Moth,19,10,2023
43.919472,10.2934114,Italy,Agrotis ipsilon,Ipsilon Dart Moth,13,10,2023
43.919472,10.2934114,Italy,Agrotis ipsilon,Ipsilon Dart Moth,13,10,2023
43.919472,10.2934114,Italy,Agrotis ipsilon,Ipsilon Dart Moth,15,10,2023
44.9152183531,12.2331399917,Italy,Agrotis ipsilon,Ipsilon Dart Moth,21,10,2023
44.9152183531,12.2331399917,Italy,Agrotis ipsilon,Ipsilon Dart Moth,21,10,2023
45.8830046557,11.8624481634,Italy,Agrotis ipsilon,Ipsilon Dart Moth,23,10,2023
40.9122083333,8.7884133333,Italy,Agrotis ipsilon,Ipsilon Dart Moth,26,10,2023
43.53232,10.92281,Italy,Agrotis ipsilon,Ipsilon Dart Moth,1,11,2023
44.5203335912,12.2721488089,Italy,Agrotis ipsilon,Ipsilon Dart Moth,8,11,2023
41.7288763889,15.9213177778,Italy,Agrotis ipsilon,Ipsilon Dart Moth,30,3,2024
44.8838805556,12.2320027778,Italy,Agrotis ipsilon,Ipsilon Dart Moth,5,4,2024
44.8839444444,12.2320527778,Italy,Agrotis ipsilon,Ipsilon Dart Moth,5,4,2024
44.8839138889,12.2321805556,Italy,Agrotis ipsilon,Ipsilon Dart Moth,5,4,2024
44.883378665,12.2323923163,Italy,Agrotis ipsilon,Ipsilon Dart Moth,8,4,2024
44.8333915997,11.4613499997,Italy,Agrotis ipsilon,Ipsilon Dart Moth,9,4,2024
44.8838555556,12.2319222222,Italy,Agrotis ipsilon,Ipsilon Dart Moth,9,4,2024
45.0638607872,9.3734774921,Italy,Agrotis ipsilon,Ipsilon Dart Moth,11,4,2024
44.8838777778,12.2320111111,Italy,Agrotis ipsilon,Ipsilon Dart Moth,11,4,2024
44.8839694444,12.23205,Italy,Agrotis ipsilon,Ipsilon Dart Moth,11,4,2024
44.7589415698,11.7834689591,Italy,Agrotis ipsilon,Ipsilon Dart Moth,11,4,2024
44.7085559305,8.2303603739,Italy,Agrotis ipsilon,Ipsilon Dart Moth,13,4,2024
44.8833111111,12.2322055556,Italy,Agrotis ipsilon,Ipsilon Dart Moth,15,4,2024
44.9040777778,12.2679805556,Italy,Agrotis ipsilon,Ipsilon Dart Moth,17,4,2024
41.7014653126,12.3827480103,Italy,Agrotis ipsilon,Ipsilon Dart Moth,26,4,2024
41.6793583475,12.3924708312,Italy,Agrotis ipsilon,Ipsilon Dart Moth,26,4,2024
41.8565697383,12.530516088,Italy,Agrotis ipsilon,Ipsilon Dart Moth,29,4,2024
43.920744,10.294019,Italy,Agrotis ipsilon,Ipsilon Dart Moth,27,4,2024
43.920744,10.294019,Italy,Agrotis ipsilon,Ipsilon Dart Moth,27,4,2024
43.920744,10.294019,Italy,Agrotis ipsilon,Ipsilon Dart Moth,28,4,2024
43.920744,10.294019,Italy,Agrotis ipsilon,Ipsilon Dart Moth,28,4,2024
43.920744,10.294019,Italy,Agrotis ipsilon,Ipsilon Dart Moth,28,4,2024
45.0729040586,7.3900287568,Italy,Agrotis ipsilon,Ipsilon Dart Moth,28,5,2024
45.0810784,7.5738951997,Italy,Agrotis ipsilon,Ipsilon Dart Moth,4,6,2024
44.4990766171,11.2789350003,Italy,Agrotis ipsilon,Ipsilon Dart Moth,8,6,2024
46.7860140012,11.9346130639,Italy,Agrotis ipsilon,Ipsilon Dart Moth,9,6,2024
45.9396429607,9.1275483011,Italy,Agrotis ipsilon,Ipsilon Dart Moth,17,6,2024
44.6442960415,10.9492868185,Italy,Agrotis ipsilon,Ipsilon Dart Moth,27,6,2024
46.1157643,9.2597708997,Italy,Agrotis ipsilon,Ipsilon Dart Moth,28,6,2024
42.6238,11.2799,Italy,Agrotis ipsilon,Ipsilon Dart Moth,21,6,2024
46.54454,11.25863,Italy,Agrotis ipsilon,Ipsilon Dart Moth,27,6,2024
45.7986487903,10.8944348749,Italy,Agrotis ipsilon,Ipsilon Dart Moth,16,7,2024
45.7986431803,10.8944342043,Italy,Agrotis ipsilon,Ipsilon Dart Moth,16,7,2024
45.7986357721,10.894433535,Italy,Agrotis ipsilon,Ipsilon Dart Moth,16,7,2024
45.7986478437,10.8944109692,Italy,Agrotis ipsilon,Ipsilon Dart Moth,16,7,2024
45.9999423,8.5873571,Italy,Agrotis ipsilon,Ipsilon Dart Moth,21,7,2024
44.8832166667,12.2323555556,Italy,Agrotis ipsilon,Ipsilon Dart Moth,25,7,2024
45.1788493569,7.3075476999,Italy,Agrotis ipsilon,Ipsilon Dart Moth,29,7,2024
44.6073570241,11.7869703011,Italy,Agrotis ipsilon,Ipsilon Dart Moth,3,8,2024
45.4693033333,10.9051883333,Italy,Agrotis ipsilon,Ipsilon Dart Moth,6,8,2024
45.4688301121,10.9049354866,Italy,Agrotis ipsilon,Ipsilon Dart Moth,6,8,2024
42.7650315825,10.8714175969,Italy,Agrotis ipsilon,Ipsilon Dart Moth,6,8,2024
44.8298997031,11.6254814342,Italy,Agrotis ipsilon,Ipsilon Dart Moth,7,8,2024
45.5727330213,9.4272555783,Italy,Agrotis ipsilon,Ipsilon Dart Moth,15,6,2024
45.7339032517,9.7461266443,Italy,Agrotis ipsilon,Ipsilon Dart Moth,10,8,2024
45.7837080822,12.1933821961,Italy,Agrotis ipsilon,Ipsilon Dart Moth,10,8,2024
45.4901287777,11.1438414205,Italy,Agrotis ipsilon,Ipsilon Dart Moth,17,8,2024
43.3579292681,10.5311756954,Italy,Agrotis ipsilon,Ipsilon Dart Moth,18,8,2024
46.4453484882,11.334948577,Italy,Agrotis ipsilon,Ipsilon Dart Moth,19,8,2024
44.8836138889,12.2326694444,Italy,Agrotis ipsilon,Ipsilon Dart Moth,21,8,2024
